"path","bytes"
".gitattributes","178"
".gitignore","136"
"configs/reproduce_trans_top_journal_experiments.sh","8914"
"data/bindingdb_raw_smoke_pairs.csv","614743"
"data/chembl_raw_smoke_pairs.csv","1636603"
"data/examples/sample_bindingdb_raw_smoke_activities.csv","264990"
"data/examples/sample_chembl_raw_smoke_activities.csv","275581"
"data/examples/sample_raw_threshold_sensitivity_bindingdb_raw_t0p7_c1p0_s0p3.csv","235175"
"data/examples/sample_raw_threshold_sensitivity_chembl_raw_t0p7_c1p0_s0p3.csv","245019"
"data/examples/sample_tkde_noise_equal_relation_bindingdb_raw.csv","242556"
"data/examples/sample_tkde_noise_equal_relation_chembl_raw.csv","235197"
"data/README.md","481"
"DATA_CARD.md","1951"
"DATA_MANIFEST.csv","1054"
"docs/ANONYMIZATION.md","443"
"docs/ARTIFACT_MAP.md","1035"
"docs/README_REPRODUCE_ARTIFACT.md","3004"
"environment.yml","213"
"LICENSE","1075"
"MODEL_CARD.md","1351"
"README.md","5453"
"remote_experiment_scripts/run_tkde_experiments_5_7.py","36646"
"reproduce.sh","65"
"reproduce_quick.py","1179"
"REPRODUCIBILITY.md","7719"
"requirements.txt","147"
"RESULT_MANIFEST.csv","14753"
"review_artifact/case_studies/tkde_benchmark_split_manifest.csv","113679"
"review_artifact/case_studies/tkde_failure_case_studies.csv","43484"
"review_artifact/case_studies/tkde_leaderboard_snapshot.csv","39304"
"review_artifact/case_studies/tkde_raw_data_quality_summary.csv","847"
"review_artifact/case_studies/tkde_sar_literature_case_table.csv","1347"
"review_artifact/figures/pdf/Fig1_GIGraph_final.pdf","4419513"
"review_artifact/figures/pdf/Fig2_data_quality_leakage_matrix.pdf","51233"
"review_artifact/figures/pdf/Fig3_hard_ood_forest.pdf","53413"
"review_artifact/figures/pdf/Fig4_crossdb_prospective_dumbbell.pdf","53409"
"review_artifact/figures/pdf/Fig5_reliability_curves.pdf","49972"
"review_artifact/figures/pdf/Fig6_robustness_stress_heatmap.pdf","61377"
"review_artifact/figures/pdf/Fig7_rdkit_case_cards.pdf","538538"
"review_artifact/figures/pdf/SFig1_split_construction_leakage.pdf","37130"
"review_artifact/figures/pdf/SFig2_raw_data_quality.pdf","53619"
"review_artifact/figures/pdf/SFig3_full_method_split_heatmap.pdf","56148"
"review_artifact/figures/pdf/SFig4_calibration_risk_coverage.pdf","55201"
"review_artifact/figures/pdf/SFig5_sensitivity_curves.pdf","55955"
"review_artifact/figures/pdf/SFig6_rdkit_case_gallery.pdf","908678"
"review_artifact/figures/pdf/SFig7_explanation_stability.pdf","45160"
"review_artifact/figures/pdf/SFig8_topk_ranking_utility.pdf","48938"
"review_artifact/figures/pdf/SFig9_fewshot_label_efficiency.pdf","52287"
"review_artifact/figures/source/Fig2_source_data.csv","39353"
"review_artifact/figures/source/Fig3_source_data.csv","5882"
"review_artifact/figures/source/Fig4_source_data.csv","2569"
"review_artifact/figures/source/Fig5_source_data.csv","3320"
"review_artifact/figures/source/Fig6_source_data.csv","2461"
"review_artifact/figures/source/Fig7_source_data.csv","2133"
"review_artifact/figures/source/figure_palette_fixed.json","297"
"review_artifact/figures/source/SFig1_source_data.csv","1589"
"review_artifact/figures/source/SFig2_source_data_manifest.csv","113099"
"review_artifact/figures/source/SFig2_source_data_quality.csv","831"
"review_artifact/figures/source/SFig3_source_data.csv","31342"
"review_artifact/figures/source/SFig4_source_data.csv","12766"
"review_artifact/figures/source/SFig5_source_data.csv","8656"
"review_artifact/figures/source/SFig6_source_data.csv","4101"
"review_artifact/figures/source/SFig7_source_data.csv","1700"
"review_artifact/figures/source/SFig8_source_data.csv","3822"
"review_artifact/figures/source/SFig9_source_data.csv","6983"
"review_artifact/official_datasail/official_datasail_exact_split.csv","5335"
"review_artifact/official_datasail/official_datasail_exact_split_bindingdb_source_purged.csv","3389"
"review_artifact/official_datasail/official_datasail_exact_split_bindingdb_source_purged_fold_metrics.csv","4607"
"review_artifact/official_datasail/official_datasail_exact_split_bindingdb_source_purged_paired_deltas.csv","2062"
"review_artifact/official_datasail/official_datasail_exact_split_c20.csv","5523"
"review_artifact/official_datasail/official_datasail_exact_split_c20_fold_metrics.csv","10944"
"review_artifact/official_datasail/official_datasail_exact_split_c20_paired_deltas.csv","3997"
"review_artifact/official_datasail/official_datasail_exact_split_fold_metrics.csv","9567"
"review_artifact/official_datasail/official_datasail_exact_split_paired_deltas.csv","3935"
"review_artifact/official_datasail/official_datasail_source_purge_feasibility.csv","493"
"review_artifact/reports/data_card_and_reproducibility.md","5976"
"review_artifact/reports/datasail_exact_split_attempt.md","709"
"review_artifact/reports/official_datasail_exact_split_bindingdb_source_purged_report.md","4810"
"review_artifact/reports/official_datasail_exact_split_report.md","4949"
"review_artifact/reports/official_datasail_multicluster_sensitivity_report.md","4819"
"review_artifact/reports/tkde_p0_p1_p2_completion_report_2026_05_20.md","52605"
"review_artifact/reports/tkde_remaining_p0_p1_seed0_2_report.md","62930"
"review_artifact/tables/bindingdb_target_cluster_bootstrap_summary.csv","468"
"review_artifact/tables/bindingdb_target_cluster_bootstrap_target_level.csv","2704"
"review_artifact/tables/bindingdb_target_unit_bootstrap_summary.csv","500"
"review_artifact/tables/bindingdb_target_unit_bootstrap_target_level.csv","3080"
"review_artifact/tables/chembl_target_cluster_bootstrap_summary.csv","472"
"review_artifact/tables/chembl_target_cluster_bootstrap_target_level.csv","2677"
"review_artifact/tables/chembl_target_unit_bootstrap_summary.csv","503"
"review_artifact/tables/chembl_target_unit_bootstrap_target_level.csv","3055"
"review_artifact/tables/internal_graph_gcn_baseline_analysis.md","1426"
"review_artifact/tables/internal_graph_gcn_baseline_seed0_4.jsonl","85161"
"review_artifact/tables/internal_graph_gcn_baseline_summary.csv","983"
"review_artifact/tables/raw_audit_15_fold_metrics.csv","22528"
"review_artifact/tables/raw_audit_15_summary.csv","800"
"review_artifact/tables/representation_ranking_reversal_12.csv","1700"
"review_artifact/tables/representation_selection_42.csv","9107"
"review_artifact/tables/representation_selection_changes_12.csv","2012"
"review_artifact/tables/table_01_split_leakage_audit.csv","1298"
"review_artifact/tables/table_01_split_leakage_audit.tex","2992"
"review_artifact/tables/table_02_acnet_hard_ood_main.csv","2849"
"review_artifact/tables/table_02_acnet_hard_ood_main.tex","3961"
"review_artifact/tables/table_03_raw_source_temporal_main.csv","6398"
"review_artifact/tables/table_03_raw_source_temporal_main.tex","8159"
"review_artifact/tables/table_04_lohi_datasail_style.csv","4247"
"review_artifact/tables/table_04_lohi_datasail_style.tex","5650"
"review_artifact/tables/table_05_crossdb_prospective_topk.csv","26177"
"review_artifact/tables/table_05_crossdb_prospective_topk.tex","30822"
"review_artifact/tables/table_06a_selective_prediction.csv","9053"
"review_artifact/tables/table_06a_selective_prediction.tex","11391"
