benchmark,source,condition,split_mode,variant,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std,roc_auc_count,n_train_mean,n_test_mean,train_retention_after_purge_mean,target_overlap_rate_mean,exact_ligand_overlap_rate_mean,scaffold_overlap_rate_mean,document_source_overlap_rate_mean,ef_1pct_mean,ef_5pct_mean,bedroc20_mean,precision_at_50_mean
ACNet,ACNet,default,family_exact_ligand_purged,ecfp_absdiff_xgb,0.5644254808261997,0.0249549221712048,0.2036102337461021,0.0142704754120636,0.0953648425309496,0.028225505863649,25,92414.2,24610.8,0.9388025016735954,0.0,0.0,0.1281035459686723,,,,,
ACNet,ACNet,default,family_exact_ligand_purged,rich_diff_scalars,0.6373190438329392,0.0055938969974945,0.2436251799053801,0.0155337078808131,0.144378782649261,0.0151336465510413,25,92414.2,24610.8,0.9388025016735954,0.0,0.0,0.1281035459686723,,,,,
ACNet,ACNet,default,family_exact_ligand_purged,rich_pair_only,0.6284626561957641,0.0071391201237762,0.2337969362742374,0.0149830454736191,0.139856990403797,0.0094441273338771,25,92414.2,24610.8,0.9388025016735954,0.0,0.0,0.1281035459686723,,,,,
ACNet,ACNet,default,family_scaffold_purged,ecfp_absdiff_xgb,0.5634829439806377,0.0244599909519256,0.2020944414580776,0.0179973659909041,0.0903660150033347,0.0358751067817726,25,87296.56,24610.8,0.8868305502294792,0.0,0.0,0.0,,,,,
ACNet,ACNet,default,family_scaffold_purged,rich_diff_scalars,0.635352616650157,0.005714792549944,0.2421305681471247,0.01559261836279,0.142344943252942,0.0161595335118925,25,87296.56,24610.8,0.8868305502294792,0.0,0.0,0.0,,,,,
ACNet,ACNet,default,family_scaffold_purged,rich_pair_only,0.6270810750203221,0.0079398204716392,0.2335813790601642,0.0130920094213529,0.1393730280449143,0.0089952051320532,25,87296.56,24610.8,0.8868305502294792,0.0,0.0,0.0,,,,,
ACNet,ACNet,default,target_family,ecfp_absdiff_xgb,0.5700727748046549,0.0221423629460648,0.208302194006691,0.015993579656602,0.1056339210881588,0.0229082400389843,25,98443.2,24610.8,1.0,0.0,0.2393507887902891,0.3286146301450413,,,,,
ACNet,ACNet,default,target_family,rich_diff_scalars,0.6398398841956703,0.0034624226776864,0.2438759108763324,0.0142769150451103,0.1472553561287926,0.0140145151369895,25,98443.2,24610.8,1.0,0.0,0.2393507887902891,0.3286146301450413,,,,,
ACNet,ACNet,default,target_family,rich_pair_only,0.6318526550524524,0.0059506878840801,0.2355674250290159,0.0134961529592681,0.1394951934052249,0.0092222235297685,25,98443.2,24610.8,1.0,0.0,0.2393507887902891,0.3286146301450413,,,,,
MoleculeACE,MoleculeACE,default,family_scaffold_purged,ecfp_absdiff_xgb,0.5589712262627987,0.0291490366059763,0.4216949372380967,0.0649104136358772,0.0814337042217194,0.0402943513093854,25,61901.0,15949.8,0.968845284764792,0.0,0.0,0.0,,,,,
MoleculeACE,MoleculeACE,default,family_scaffold_purged,rich_diff_scalars,0.5887618503388959,0.0205600375561251,0.4485940120464922,0.0513464451840425,0.1206834000986117,0.0314974750848244,25,61901.0,15949.8,0.968845284764792,0.0,0.0,0.0,,,,,
MoleculeACE,MoleculeACE,default,family_scaffold_purged,rich_scalars_only,0.5730287421590523,0.0299852366759546,0.4315750297714157,0.0454737639390312,0.0948187592599549,0.0479034615400682,25,61901.0,15949.8,0.968845284764792,0.0,0.0,0.0,,,,,
MoleculeACE,MoleculeACE,default,target_family,ecfp_absdiff_xgb,0.562812835184419,0.0259340455954409,0.425627807243882,0.0633045867821547,0.0898259099722014,0.0317018128914618,25,63799.2,15949.8,1.0,0.0,0.0833494877899233,0.1212616270445446,,,,,
MoleculeACE,MoleculeACE,default,target_family,rich_diff_scalars,0.5941158850578867,0.0201824401483393,0.4537026365264854,0.0481197156017147,0.1295605519427425,0.0266702075956753,25,63799.2,15949.8,1.0,0.0,0.0833494877899233,0.1212616270445446,,,,,
