panel,metric,display_metric,seed,fold,fold_mode,value,source_artifact,audit_scope
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,0,0,random,0.9993013832611428,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,0,1,random,0.0661570403926009,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,0,2,random,0.8494304110946013,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,0,3,random,0.9962202343454706,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,0,4,random,0.9998142127264282,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,1,0,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,1,1,random,0.8630229419703104,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,1,2,random,0.9995438606494284,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,1,3,random,0.9996496145760336,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,1,4,random,0.9993447456794168,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,2,0,random,0.999856702729813,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,2,1,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,2,2,random,0.8536429484448231,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,2,3,random,0.7786196672706309,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,2,4,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,3,0,random,0.8485941081111298,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,3,1,random,0.9910914702581368,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,3,2,random,0.9763964228119044,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,3,3,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,3,4,random,0.9937623262853736,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,4,0,random,0.6587947882736156,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,4,1,random,0.9292154420921545,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,4,2,random,0.9946198275179998,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,4,3,random,0.9972426470588236,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,4,4,random,0.9994413992947666,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,0,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,0,1,target_cluster_balanced,0.0058697778905032,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,0,2,target_cluster_balanced,0.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,0,3,target_cluster_balanced,0.3292113859076062,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,0,4,target_cluster_balanced,0.3752327746741155,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,1,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,1,1,target_cluster_balanced,0.0058697778905032,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,1,2,target_cluster_balanced,0.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,1,3,target_cluster_balanced,0.3498654813428471,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,1,4,target_cluster_balanced,0.3943122460824144,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,2,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,2,1,target_cluster_balanced,0.0058697778905032,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,2,2,target_cluster_balanced,0.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,2,3,target_cluster_balanced,0.3292113859076062,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,2,4,target_cluster_balanced,0.3752327746741155,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,3,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,3,1,target_cluster_balanced,0.0058697778905032,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,3,2,target_cluster_balanced,0.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,3,3,target_cluster_balanced,0.3498654813428471,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,3,4,target_cluster_balanced,0.3943122460824144,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,4,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,4,1,target_cluster_balanced,0.0058697778905032,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,4,2,target_cluster_balanced,0.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
