dataset,split,group,variant,baseline,metric,n,delta,ci95_low,ci95_high,win_rate,p_value,ci_method
ACNet,target-cluster+scaffold,"ACNet
target-cluster+scaffold",pair-only,ECFP-XGB,roc_auc,25,0.0635981310396843,0.052455148208630606,0.074741113870738,1.0,5.960464477539064e-08,paired t 95% CI
ACNet,target-cluster+scaffold,"ACNet
target-cluster+scaffold",PC-CFRL,ECFP-XGB,roc_auc,25,0.0718696726695192,0.06121991388094218,0.08251943145809622,1.0,5.960464477539064e-08,paired t 95% CI
ACNet,target-cluster+scaffold,"ACNet
target-cluster+scaffold",pair-only,ECFP-XGB,pr_auc,25,0.0314869376020865,0.01894262613964615,0.04403124906452685,0.8,3.814697265625e-05,paired t 95% CI
ACNet,target-cluster+scaffold,"ACNet
target-cluster+scaffold",PC-CFRL,ECFP-XGB,pr_auc,25,0.0400361266890471,0.026744493993819795,0.053327759384274406,0.8,8.165836334228516e-06,paired t 95% CI
ACNet,target-cluster+scaffold,"ACNet
target-cluster+scaffold",pair-only,ECFP-XGB,mcc,25,0.0490070130415795,0.033585370964020464,0.06442865511913853,0.88,3.2782554626464844e-06,paired t 95% CI
ACNet,target-cluster+scaffold,"ACNet
target-cluster+scaffold",PC-CFRL,ECFP-XGB,mcc,25,0.0519789282496072,0.039855061930365185,0.06410279456884921,1.0,5.960464477539064e-08,paired t 95% CI
MoleculeACE,target-cluster+scaffold,"MoleculeACE
target-cluster+scaffold",scalar-only,ECFP-XGB,roc_auc,25,0.0140575158962536,-0.009274079759053347,0.03738911155156055,0.44,0.3387878537178039,paired t 95% CI
MoleculeACE,target-cluster+scaffold,"MoleculeACE
target-cluster+scaffold",PC-CFRL,ECFP-XGB,roc_auc,25,0.0297906240760972,0.011520921190165834,0.04806032696202857,0.76,0.0114533305168151,paired t 95% CI
MoleculeACE,target-cluster+scaffold,"MoleculeACE
target-cluster+scaffold",scalar-only,ECFP-XGB,pr_auc,25,0.0098800925333189,-0.006825949447885508,0.026586134514523307,0.44,0.615043044090271,paired t 95% CI
MoleculeACE,target-cluster+scaffold,"MoleculeACE
target-cluster+scaffold",PC-CFRL,ECFP-XGB,pr_auc,25,0.0268990748083954,0.013862919558291742,0.03993523005849906,0.68,0.0016253590583801,paired t 95% CI
MoleculeACE,target-cluster+scaffold,"MoleculeACE
target-cluster+scaffold",scalar-only,ECFP-XGB,mcc,25,0.0133850550382354,-0.02091180502099585,0.04768191509746665,0.4,0.6338268518447876,paired t 95% CI
MoleculeACE,target-cluster+scaffold,"MoleculeACE
target-cluster+scaffold",PC-CFRL,ECFP-XGB,mcc,25,0.0392496958768922,0.012256523876686805,0.0662428678770976,0.64,0.0421501994132995,paired t 95% CI
ChEMBL,target-cluster+scaffold+source,"ChEMBL
target-cluster+scaffold+source",scalar-only,ECFP-XGB,roc_auc,25,0.045022157192,0.0236025888062,0.0665943472367,0.64,0.2758717536926269,bootstrap 95% CI
ChEMBL,target-cluster+scaffold+source,"ChEMBL
target-cluster+scaffold+source",PC-CFRL,ECFP-XGB,roc_auc,25,0.037352000756,0.0172954377535,0.0571258276001,0.64,0.8149487972259521,bootstrap 95% CI
ChEMBL,target-cluster+scaffold+source,"ChEMBL
target-cluster+scaffold+source",scalar-only,ECFP-XGB,pr_auc,25,0.046723411336,0.0295699566616,0.0642997988614,1.0,1.1920928955078123e-05,bootstrap 95% CI
ChEMBL,target-cluster+scaffold+source,"ChEMBL
target-cluster+scaffold+source",PC-CFRL,ECFP-XGB,pr_auc,25,0.0397899203,0.0223973769093999,0.0588554756224,0.76,0.0712203979492187,bootstrap 95% CI
ChEMBL,target-cluster+scaffold+source,"ChEMBL
target-cluster+scaffold+source",scalar-only,ECFP-XGB,mcc,25,0.089682579896,0.055695356348,0.1236731252905,0.92,0.000428020954132,bootstrap 95% CI
ChEMBL,target-cluster+scaffold+source,"ChEMBL
target-cluster+scaffold+source",PC-CFRL,ECFP-XGB,mcc,25,0.0680282111359999,0.0308491805795,0.1064722979028,0.68,0.8645875453948975,bootstrap 95% CI
ChEMBL,temporal+source,"ChEMBL
temporal+source",scalar-only,ECFP-XGB,roc_auc,25,0.107591654972,0.0803288425386,0.1346162330632,0.88,0.000190258026123,bootstrap 95% CI
ChEMBL,temporal+source,"ChEMBL
temporal+source",PC-CFRL,ECFP-XGB,roc_auc,25,0.110365735412,0.0895849852301999,0.129261550469,1.0,1.1920928955078123e-05,bootstrap 95% CI
ChEMBL,temporal+source,"ChEMBL
temporal+source",scalar-only,ECFP-XGB,pr_auc,25,0.0691278030319999,0.0522256250026,0.0846329056199,0.92,7.051229476928711e-05,bootstrap 95% CI
ChEMBL,temporal+source,"ChEMBL
temporal+source",PC-CFRL,ECFP-XGB,pr_auc,25,0.0701280237559999,0.0564948655336999,0.082504216121,1.0,1.1920928955078123e-05,bootstrap 95% CI
ChEMBL,temporal+source,"ChEMBL
temporal+source",scalar-only,ECFP-XGB,mcc,25,0.127986076472,0.1080197647973,0.1498833550874,1.0,1.1920928955078123e-05,bootstrap 95% CI
ChEMBL,temporal+source,"ChEMBL
temporal+source",PC-CFRL,ECFP-XGB,mcc,25,0.104989284556,0.0883412713103,0.1207248725389,1.0,1.1920928955078123e-05,bootstrap 95% CI
BindingDB,target-cluster+scaffold+source,"BindingDB
target-cluster+scaffold+source",scalar-only,ECFP-XGB,roc_auc,25,0.0535827998719999,0.0429319053317999,0.0642928232468,1.0,1.1920928955078123e-05,bootstrap 95% CI
BindingDB,target-cluster+scaffold+source,"BindingDB
target-cluster+scaffold+source",PC-CFRL,ECFP-XGB,roc_auc,25,0.055347501284,0.0430574259584,0.0684146100204,1.0,1.1920928955078123e-05,bootstrap 95% CI
BindingDB,target-cluster+scaffold+source,"BindingDB
target-cluster+scaffold+source",scalar-only,ECFP-XGB,pr_auc,25,0.0484455120159999,0.0360369023205,0.0618402566101,1.0,1.1920928955078123e-05,bootstrap 95% CI
BindingDB,target-cluster+scaffold+source,"BindingDB
target-cluster+scaffold+source",PC-CFRL,ECFP-XGB,pr_auc,25,0.048491687644,0.0351933384319,0.0634941707559,1.0,1.1920928955078123e-05,bootstrap 95% CI
