split,variant,metric,mean,std
"BDB->ChEMBL
scaffold",ECFP-XGB,roc_auc,0.5409,0.006
"BDB->ChEMBL
scaffold",ECFP-XGB,pr_auc,0.4174,0.0035
"BDB->ChEMBL
scaffold",ECFP-XGB,mcc,0.0477,0.0031
"BDB->ChEMBL
scaffold",ECFP-XGB,ef_5pct,1.3823,0.0177
"BDB->ChEMBL
scaffold",PC-CFRL,roc_auc,0.6233,0.003
"BDB->ChEMBL
scaffold",PC-CFRL,pr_auc,0.4984,0.0047
"BDB->ChEMBL
scaffold",PC-CFRL,mcc,0.1745,0.0056
"BDB->ChEMBL
scaffold",PC-CFRL,ef_5pct,1.5913,0.0429
"ChEMBL->BDB
scaffold",ECFP-XGB,roc_auc,0.5256,0.003
"ChEMBL->BDB
scaffold",ECFP-XGB,pr_auc,0.326,0.0032
"ChEMBL->BDB
scaffold",ECFP-XGB,mcc,0.0398,0.0015
"ChEMBL->BDB
scaffold",ECFP-XGB,ef_5pct,0.9796,0.0688
"ChEMBL->BDB
scaffold",PC-CFRL,roc_auc,0.5846,0.0019
"ChEMBL->BDB
scaffold",PC-CFRL,pr_auc,0.3887,0.0016
"ChEMBL->BDB
scaffold",PC-CFRL,mcc,0.1152,0.0051
"ChEMBL->BDB
scaffold",PC-CFRL,ef_5pct,1.5802,0.0222
"ChEMBL36-37
cold ligand",ECFP-XGB,roc_auc,0.4663063269218678,0.0022730939688902
"ChEMBL36-37
cold ligand",ECFP-XGB,pr_auc,0.2801940291718262,0.001226679626067
"ChEMBL36-37
cold ligand",ECFP-XGB,mcc,-0.0296010072835946,0.01194944967092
"ChEMBL36-37
cold ligand",ECFP-XGB,ef_5pct,,
"ChEMBL36-37
cold ligand",PC-CFRL,roc_auc,0.5869168475466546,0.0042156750974876
"ChEMBL36-37
cold ligand",PC-CFRL,pr_auc,0.3867481901041787,0.0076575612142468
"ChEMBL36-37
cold ligand",PC-CFRL,mcc,0.1192907050006716,0.0066740448915641
"ChEMBL36-37
cold ligand",PC-CFRL,ef_5pct,,
"ChEMBL36-37
new evidence",ECFP-XGB,roc_auc,0.4772381206458796,0.0013631762217671
"ChEMBL36-37
new evidence",ECFP-XGB,pr_auc,0.294445884838986,0.0011671435818871
"ChEMBL36-37
new evidence",ECFP-XGB,mcc,-0.0160214704158723,0.0104346411479458
"ChEMBL36-37
new evidence",ECFP-XGB,ef_5pct,,
"ChEMBL36-37
new evidence",PC-CFRL,roc_auc,0.5959909347780261,0.0042471801071886
"ChEMBL36-37
new evidence",PC-CFRL,pr_auc,0.4022537710418181,0.0071839559491957
"ChEMBL36-37
new evidence",PC-CFRL,mcc,0.1357605293556802,0.0063023747084661
"ChEMBL36-37
new evidence",PC-CFRL,ef_5pct,,
"ChEMBL36-37
source purged",ECFP-XGB,roc_auc,0.4910474504531941,0.0047261569808112
"ChEMBL36-37
source purged",ECFP-XGB,pr_auc,0.2984745037278362,0.0034970199280893
"ChEMBL36-37
source purged",ECFP-XGB,mcc,0.0170395219255903,0.0071972296304629
"ChEMBL36-37
source purged",ECFP-XGB,ef_5pct,,
"ChEMBL36-37
source purged",PC-CFRL,roc_auc,0.5849998620556283,0.0040585911433011
"ChEMBL36-37
source purged",PC-CFRL,pr_auc,0.3770983960305824,0.0053316796383785
"ChEMBL36-37
source purged",PC-CFRL,mcc,0.1217728319229415,0.007460285493684
"ChEMBL36-37
source purged",PC-CFRL,ef_5pct,,
