panel,row,$\Delta$ROC,$\Delta$PR,$\Delta$MCC,seen-like,mild,moderate,severe,MAE gain,Spearman gain,Dir. ROC gain,ECE gain
fig6a_multisplit,"ChEMBL
source+scaffold",0.04268207072852914,0.04386687911135617,0.07586976781176841,,,,,,,,
fig6a_multisplit,"ChEMBL
temporal",0.10752879919637459,0.07882706117347021,0.1538828817730765,,,,,,,,
fig6a_multisplit,"ChEMBL
cold ligand",0.04823096760294343,0.04639818687059449,0.06362505719919971,,,,,,,,
fig6a_multisplit,"BindingDB
source+scaffold",0.051085249981524083,0.045387984977679596,0.0523173568994162,,,,,,,,
fig6a_multisplit,"BindingDB
cold ligand",0.08110717985223781,0.07119990886447697,0.0952590734949834,,,,,,,,
fig6a_multisplit,"BindingDB
target family",0.06650550859617643,0.06496857679411983,0.0729512302976566,,,,,,,,
fig6b_severity,"ChEMBL
source+scaffold",,,,,0.1476431979822917,0.0006593814831459266,0.04820045082274138,,,,
fig6b_severity,"ChEMBL
temporal",,,,0.07067862054374285,0.04483282674772038,0.05170280089135937,0.10728236687851478,,,,
fig6b_severity,"BindingDB
source+scaffold",,,,,,0.08190328253132173,0.047358470874323544,,,,
fig6b_severity,"BindingDB
cold ligand",,,,0.07134076590943117,0.09062430751653083,0.06549205145204884,0.050933297947955314,,,,
fig6c_multitask,"ChEMBL
source+scaffold",,,,,,,,0.019860601425170876,0.06796341650270481,0.0065386325843328486,
fig6c_multitask,"ChEMBL
target family",,,,,,,,0.028122513294219997,0.0656228389233876,0.0032796654062847708,
fig6c_multitask,"BindingDB
source+scaffold",,,,,,,,0.0030008792877197488,0.050178373218313393,-0.009567226474540336,
fig6c_multitask,"BindingDB
target family",,,,,,,,0.01123528003692631,0.0878999536000096,-0.007033803022072238,
fig6d_missing_source,"ChEMBL
missing=0",0.044214684654150904,0.0448567707127257,,,,,,,,,-0.003799014616645502
fig6d_missing_source,"ChEMBL
missing=0.5",0.0476052376790137,0.04629452779843979,,,,,,,,,-0.0010555695223591066
fig6d_missing_source,"ChEMBL
missing=1",0.04809581852182887,0.04795874792838439,,,,,,,,,-0.0012967236419163947
fig6d_missing_source,"BindingDB
missing=0",0.05147617351175282,0.04650931335968611,,,,,,,,,-0.007545706643288491
fig6d_missing_source,"BindingDB
missing=0.5",0.05576636239468458,0.05203031554007359,,,,,,,,,-0.006417524025907118
fig6d_missing_source,"BindingDB
missing=1",0.05739293830287995,0.05299389235650592,,,,,,,,,-0.005480671547917093
