variant,task,delta,metric
ecfp_absdiff_xgb,"ACNet
target-cluster+ligand",0.0,roc_auc_mean
rich_diff_scalars,"ACNet
target-cluster+ligand",0.07289356300673955,roc_auc_mean
rich_pair_only,"ACNet
target-cluster+ligand",0.06403717536956444,roc_auc_mean
rich_scalars_only,"ACNet
target-cluster+ligand",,roc_auc_mean
extratrees_scalars,"ACNet
target-cluster+ligand",,roc_auc_mean
ecfp_absdiff_xgb,"ACNet
target-cluster+scaffold",0.0,roc_auc_mean
rich_diff_scalars,"ACNet
target-cluster+scaffold",0.07186967266951927,roc_auc_mean
rich_pair_only,"ACNet
target-cluster+scaffold",0.06359813103968437,roc_auc_mean
rich_scalars_only,"ACNet
target-cluster+scaffold",,roc_auc_mean
extratrees_scalars,"ACNet
target-cluster+scaffold",,roc_auc_mean
ecfp_absdiff_xgb,"ACNet
target-cluster",0.0,roc_auc_mean
rich_diff_scalars,"ACNet
target-cluster",0.06976710939101538,roc_auc_mean
rich_pair_only,"ACNet
target-cluster",0.06177988024779746,roc_auc_mean
rich_scalars_only,"ACNet
target-cluster",,roc_auc_mean
extratrees_scalars,"ACNet
target-cluster",,roc_auc_mean
ecfp_absdiff_xgb,"BindingDB
target-cluster+scaffold+source",0.0,roc_auc_mean
rich_diff_scalars,"BindingDB
target-cluster+scaffold+source",0.05534750127919197,roc_auc_mean
rich_pair_only,"BindingDB
target-cluster+scaffold+source",,roc_auc_mean
rich_scalars_only,"BindingDB
target-cluster+scaffold+source",0.053582799875452114,roc_auc_mean
extratrees_scalars,"BindingDB
target-cluster+scaffold+source",,roc_auc_mean
ecfp_absdiff_xgb,"BindingDB
target-cluster",0.0,roc_auc_mean
rich_diff_scalars,"BindingDB
target-cluster",0.06634054629265951,roc_auc_mean
rich_pair_only,"BindingDB
target-cluster",,roc_auc_mean
rich_scalars_only,"BindingDB
target-cluster",0.0679191003097287,roc_auc_mean
extratrees_scalars,"BindingDB
target-cluster",,roc_auc_mean
ecfp_absdiff_xgb,"ChEMBL
target-cluster+scaffold+source",0.0,roc_auc_mean
rich_diff_scalars,"ChEMBL
target-cluster+scaffold+source",0.03735200076462819,roc_auc_mean
rich_pair_only,"ChEMBL
target-cluster+scaffold+source",,roc_auc_mean
rich_scalars_only,"ChEMBL
target-cluster+scaffold+source",0.045022157204277824,roc_auc_mean
extratrees_scalars,"ChEMBL
target-cluster+scaffold+source",,roc_auc_mean
ecfp_absdiff_xgb,"ChEMBL
target-cluster",0.0,roc_auc_mean
rich_diff_scalars,"ChEMBL
target-cluster",0.03253385779133211,roc_auc_mean
rich_pair_only,"ChEMBL
target-cluster",,roc_auc_mean
rich_scalars_only,"ChEMBL
target-cluster",0.03656524462050703,roc_auc_mean
extratrees_scalars,"ChEMBL
target-cluster",,roc_auc_mean
ecfp_absdiff_xgb,"ChEMBL
temporal",0.0,roc_auc_mean
rich_diff_scalars,"ChEMBL
temporal",0.11044823387538949,roc_auc_mean
rich_pair_only,"ChEMBL
temporal",,roc_auc_mean
rich_scalars_only,"ChEMBL
temporal",0.11881816425608882,roc_auc_mean
extratrees_scalars,"ChEMBL
temporal",,roc_auc_mean
ecfp_absdiff_xgb,"ChEMBL
temporal+source",0.0,roc_auc_mean
rich_diff_scalars,"ChEMBL
temporal+source",0.11036573541564554,roc_auc_mean
rich_pair_only,"ChEMBL
temporal+source",,roc_auc_mean
rich_scalars_only,"ChEMBL
temporal+source",0.1075916549795175,roc_auc_mean
extratrees_scalars,"ChEMBL
temporal+source",,roc_auc_mean
ecfp_absdiff_xgb,"LoHi
LoHi ligand",0.0,roc_auc_mean
rich_diff_scalars,"LoHi
LoHi ligand",0.028690687963530692,roc_auc_mean
rich_pair_only,"LoHi
LoHi ligand",,roc_auc_mean
rich_scalars_only,"LoHi
LoHi ligand",0.029296237110845835,roc_auc_mean
extratrees_scalars,"LoHi
LoHi ligand",,roc_auc_mean
ecfp_absdiff_xgb,"LoHi
LoHi pair",0.0,roc_auc_mean
rich_diff_scalars,"LoHi
LoHi pair",0.01597829097199943,roc_auc_mean
rich_pair_only,"LoHi
LoHi pair",,roc_auc_mean
rich_scalars_only,"LoHi
LoHi pair",0.012564977558583212,roc_auc_mean
extratrees_scalars,"LoHi
LoHi pair",,roc_auc_mean
ecfp_absdiff_xgb,"MoleculeACE
target-cluster+scaffold",0.0,roc_auc_mean
rich_diff_scalars,"MoleculeACE
target-cluster+scaffold",0.029790624076097227,roc_auc_mean
rich_pair_only,"MoleculeACE
target-cluster+scaffold",,roc_auc_mean
