source,condition,split_mode,variant,n_runs,n_train,n_test,train_retention_after_purge,test_positive_rate,exact_ligand_overlap_rate,scaffold_overlap_rate,document_source_overlap_rate,assay_source_overlap_rate,roc_auc,pr_auc,mcc,balanced_accuracy,f1,brier,ece_10,delta_roc_auc_vs_ecfp,delta_pr_auc_vs_ecfp,delta_mcc_vs_ecfp
chembl_raw,all_pairs,family_scaffold_source_purged,ecfp_absdiff_xgb,15,9089 +/- 469,2377 +/- 522,0.9561 +/- 0.0133,0.3876 +/- 0.0826,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5325,0.4134,0.0425,0.5204,0.4909,0.2492,0.1167,0.0,0.0,0.0
chembl_raw,all_pairs,family_scaffold_source_purged,rich_diff_scalars,15,9089 +/- 469,2377 +/- 522,0.9561 +/- 0.0133,0.3876 +/- 0.0826,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5707,0.4559,0.1139,0.557,0.4767,0.2447,0.1123,0.0383,0.0426,0.0714
chembl_raw,all_pairs,family_scaffold_source_purged,rich_scalars_only,15,9089 +/- 469,2377 +/- 522,0.9561 +/- 0.0133,0.3876 +/- 0.0826,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5778,0.4623,0.126,0.5638,0.483,0.2443,0.1133,0.0453,0.049,0.0835
chembl_raw,high_margin,family_scaffold_source_purged,ecfp_absdiff_xgb,15,6838 +/- 408,1779 +/- 391,0.9610 +/- 0.0221,0.3861 +/- 0.0906,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5315,0.4118,0.0392,0.519,0.4834,0.2483,0.1183,0.0,0.0,0.0
chembl_raw,high_margin,family_scaffold_source_purged,rich_diff_scalars,15,6838 +/- 408,1779 +/- 391,0.9610 +/- 0.0221,0.3861 +/- 0.0906,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5666,0.4684,0.0916,0.5466,0.4494,0.2456,0.1263,0.0352,0.0565,0.0523
chembl_raw,high_margin,family_scaffold_source_purged,rich_scalars_only,15,6838 +/- 408,1779 +/- 391,0.9610 +/- 0.0221,0.3861 +/- 0.0906,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.579,0.4746,0.1246,0.563,0.4561,0.2441,0.1236,0.0476,0.0628,0.0853
chembl_raw,multi_source,family_scaffold_source_purged,ecfp_absdiff_xgb,15,1611 +/- 191,412 +/- 174,0.9769 +/- 0.0167,0.5705 +/- 0.0805,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5236,0.5915,-0.0036,0.498,0.2201,0.254,0.113,0.0,0.0,0.0
chembl_raw,multi_source,family_scaffold_source_purged,rich_diff_scalars,15,1611 +/- 191,412 +/- 174,0.9769 +/- 0.0167,0.5705 +/- 0.0805,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5943,0.6512,0.1351,0.5666,0.505,0.2472,0.1199,0.0706,0.0597,0.1387
chembl_raw,multi_source,family_scaffold_source_purged,rich_scalars_only,15,1611 +/- 191,412 +/- 174,0.9769 +/- 0.0167,0.5705 +/- 0.0805,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5873,0.6478,0.1142,0.556,0.5063,0.2476,0.1208,0.0637,0.0563,0.1178
chembl_raw,high_similarity,family_scaffold_source_purged,ecfp_absdiff_xgb,15,2713 +/- 172,706 +/- 203,0.9609 +/- 0.0148,0.3450 +/- 0.0800,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5335,0.3679,-0.0107,0.4954,0.2424,0.2461,0.1464,0.0,0.0,0.0
chembl_raw,high_similarity,family_scaffold_source_purged,rich_diff_scalars,15,2713 +/- 172,706 +/- 203,0.9609 +/- 0.0148,0.3450 +/- 0.0800,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5587,0.4217,0.112,0.5545,0.3889,0.2385,0.1289,0.0253,0.0538,0.1226
chembl_raw,high_similarity,family_scaffold_source_purged,rich_scalars_only,15,2713 +/- 172,706 +/- 203,0.9609 +/- 0.0148,0.3450 +/- 0.0800,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5669,0.4189,0.1042,0.5508,0.3855,0.2379,0.1283,0.0334,0.051,0.1149
chembl_raw,equal_relation_rebuilt,family_scaffold_source_purged,ecfp_absdiff_xgb,15,7830 +/- 460,2041 +/- 520,0.9593 +/- 0.0165,0.3993 +/- 0.0809,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.526,0.4114,0.075,0.5288,0.5499,0.2476,0.1097,0.0,0.0,0.0
chembl_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_diff_scalars,15,7830 +/- 460,2041 +/- 520,0.9593 +/- 0.0165,0.3993 +/- 0.0809,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.6012,0.4804,0.1509,0.5756,0.489,0.24,0.1028,0.0751,0.069,0.0758
chembl_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_scalars_only,15,7830 +/- 460,2041 +/- 520,0.9593 +/- 0.0165,0.3993 +/- 0.0809,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5913,0.4711,0.14,0.5699,0.4809,0.2414,0.1035,0.0652,0.0598,0.0649
bindingdb_raw,all_pairs,family_scaffold_source_purged,ecfp_absdiff_xgb,15,16973 +/- 864,4497 +/- 1206,0.9450 +/- 0.0324,0.3224 +/- 0.0690,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.513,0.3339,0.0273,0.5121,0.3171,0.2504,0.1788,0.0,0.0,0.0
bindingdb_raw,all_pairs,family_scaffold_source_purged,rich_diff_scalars,15,16973 +/- 864,4497 +/- 1206,0.9450 +/- 0.0324,0.3224 +/- 0.0690,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5727,0.3847,0.0978,0.5531,0.4408,0.2507,0.1827,0.0596,0.0508,0.0704
bindingdb_raw,all_pairs,family_scaffold_source_purged,rich_scalars_only,15,16973 +/- 864,4497 +/- 1206,0.9450 +/- 0.0324,0.3224 +/- 0.0690,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5693,0.3839,0.0928,0.55,0.4399,0.2511,0.1842,0.0563,0.05,0.0654
bindingdb_raw,high_margin,family_scaffold_source_purged,ecfp_absdiff_xgb,15,12760 +/- 627,3404 +/- 988,0.9389 +/- 0.0324,0.3006 +/- 0.0701,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5156,0.3188,0.0477,0.52,0.2705,0.2491,0.1971,0.0,0.0,0.0
bindingdb_raw,high_margin,family_scaffold_source_purged,rich_diff_scalars,15,12760 +/- 627,3404 +/- 988,0.9389 +/- 0.0324,0.3006 +/- 0.0701,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5668,0.3618,0.0886,0.5478,0.4138,0.2483,0.1997,0.0512,0.043,0.0409
bindingdb_raw,high_margin,family_scaffold_source_purged,rich_scalars_only,15,12760 +/- 627,3404 +/- 988,0.9389 +/- 0.0324,0.3006 +/- 0.0701,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.573,0.368,0.0976,0.5526,0.423,0.2484,0.2014,0.0574,0.0492,0.0499
bindingdb_raw,multi_source,family_scaffold_source_purged,ecfp_absdiff_xgb,15,4793 +/- 639,1223 +/- 638,0.9794 +/- 0.0203,0.3409 +/- 0.1663,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5175,0.3547,0.013,0.5062,0.4606,0.2548,0.2023,0.0,0.0,0.0
bindingdb_raw,multi_source,family_scaffold_source_purged,rich_diff_scalars,15,4793 +/- 639,1223 +/- 638,0.9794 +/- 0.0203,0.3409 +/- 0.1663,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5333,0.373,0.0177,0.5134,0.4256,0.263,0.2174,0.0157,0.0183,0.0048
bindingdb_raw,multi_source,family_scaffold_source_purged,rich_scalars_only,15,4793 +/- 639,1223 +/- 638,0.9794 +/- 0.0203,0.3409 +/- 0.1663,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5359,0.3699,0.0316,0.5198,0.4321,0.2607,0.2131,0.0184,0.0152,0.0186
bindingdb_raw,high_similarity,family_scaffold_source_purged,ecfp_absdiff_xgb,15,4394 +/- 87,1166 +/- 245,0.9441 +/- 0.0363,0.2618 +/- 0.0491,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5229,0.285,0.0261,0.5086,0.1953,0.2467,0.2313,0.0,0.0,0.0
bindingdb_raw,high_similarity,family_scaffold_source_purged,rich_diff_scalars,15,4394 +/- 87,1166 +/- 245,0.9441 +/- 0.0363,0.2618 +/- 0.0491,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5237,0.2958,0.026,0.5143,0.3346,0.2485,0.2341,0.0008,0.0107,-0.0
bindingdb_raw,high_similarity,family_scaffold_source_purged,rich_scalars_only,15,4394 +/- 87,1166 +/- 245,0.9441 +/- 0.0363,0.2618 +/- 0.0491,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5332,0.2996,0.0279,0.5158,0.3433,0.2489,0.2349,0.0103,0.0146,0.0018
bindingdb_raw,equal_relation_rebuilt,family_scaffold_source_purged,ecfp_absdiff_xgb,15,10896 +/- 350,2876 +/- 691,0.9489 +/- 0.0312,0.3528 +/- 0.0640,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5069,0.3579,0.0231,0.5091,0.2183,0.2498,0.1453,0.0,0.0,0.0
bindingdb_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_diff_scalars,15,10896 +/- 350,2876 +/- 691,0.9489 +/- 0.0312,0.3528 +/- 0.0640,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5593,0.4168,0.0834,0.5433,0.4476,0.2488,0.1533,0.0525,0.0589,0.0604
bindingdb_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_scalars_only,15,10896 +/- 350,2876 +/- 691,0.9489 +/- 0.0312,0.3528 +/- 0.0640,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5598,0.4164,0.0783,0.5408,0.4528,0.2498,0.1564,0.0529,0.0585,0.0552
