split_mode,split_label,variant,metric,metric_label,mean,std
bindingdb_to_chembl_pair_scaffold_purged,"BindingDB->ChEMBL
pair+scaffold",ecfp_absdiff_xgb,bedroc20,BEDROC20,0.5069,0.01
bindingdb_to_chembl_pair_scaffold_purged,"BindingDB->ChEMBL
pair+scaffold",ecfp_absdiff_xgb,ef_5pct,EF@5%,1.4515,0.0266
bindingdb_to_chembl_pair_scaffold_purged,"BindingDB->ChEMBL
pair+scaffold",ecfp_absdiff_xgb,precision_at_50,P@50,0.4267,0.0115
bindingdb_to_chembl_pair_scaffold_purged,"BindingDB->ChEMBL
pair+scaffold",rich_diff_scalars,bedroc20,BEDROC20,0.5913,0.0035
bindingdb_to_chembl_pair_scaffold_purged,"BindingDB->ChEMBL
pair+scaffold",rich_diff_scalars,ef_5pct,EF@5%,1.5722,0.0177
bindingdb_to_chembl_pair_scaffold_purged,"BindingDB->ChEMBL
pair+scaffold",rich_diff_scalars,precision_at_50,P@50,0.6133,0.0115
chembl_to_bindingdb_pair_scaffold_purged,"ChEMBL->BindingDB
pair+scaffold",ecfp_absdiff_xgb,bedroc20,BEDROC20,0.3714,0.011
chembl_to_bindingdb_pair_scaffold_purged,"ChEMBL->BindingDB
pair+scaffold",ecfp_absdiff_xgb,ef_5pct,EF@5%,1.2003,0.0769
chembl_to_bindingdb_pair_scaffold_purged,"ChEMBL->BindingDB
pair+scaffold",ecfp_absdiff_xgb,precision_at_50,P@50,0.7,0.02
chembl_to_bindingdb_pair_scaffold_purged,"ChEMBL->BindingDB
pair+scaffold",rich_diff_scalars,bedroc20,BEDROC20,0.4659,0.0068
chembl_to_bindingdb_pair_scaffold_purged,"ChEMBL->BindingDB
pair+scaffold",rich_diff_scalars,ef_5pct,EF@5%,1.5527,0.0537
chembl_to_bindingdb_pair_scaffold_purged,"ChEMBL->BindingDB
pair+scaffold",rich_diff_scalars,precision_at_50,P@50,0.7133,0.0115
chembl_future_after_2005_scaffold_source_purged,"future>2005
scaffold+source",ecfp_absdiff_xgb,bedroc20,BEDROC20,0.2538,0.0109
chembl_future_after_2005_scaffold_source_purged,"future>2005
scaffold+source",ecfp_absdiff_xgb,ef_5pct,EF@5%,0.6707,0.0229
chembl_future_after_2005_scaffold_source_purged,"future>2005
scaffold+source",ecfp_absdiff_xgb,precision_at_50,P@50,0.2133,0.0503
chembl_future_after_2005_scaffold_source_purged,"future>2005
scaffold+source",rich_diff_scalars,bedroc20,BEDROC20,0.418,0.0106
chembl_future_after_2005_scaffold_source_purged,"future>2005
scaffold+source",rich_diff_scalars,ef_5pct,EF@5%,1.4364,0.1
chembl_future_after_2005_scaffold_source_purged,"future>2005
scaffold+source",rich_diff_scalars,precision_at_50,P@50,0.4333,0.0115
chembl_future_after_2010_scaffold_source_purged,"future>2010
scaffold+source",ecfp_absdiff_xgb,bedroc20,BEDROC20,0.3175,0.0368
chembl_future_after_2010_scaffold_source_purged,"future>2010
scaffold+source",ecfp_absdiff_xgb,ef_5pct,EF@5%,1.3544,0.1357
chembl_future_after_2010_scaffold_source_purged,"future>2010
scaffold+source",ecfp_absdiff_xgb,precision_at_50,P@50,0.5,0.1311
chembl_future_after_2010_scaffold_source_purged,"future>2010
scaffold+source",rich_diff_scalars,bedroc20,BEDROC20,0.3935,0.0508
chembl_future_after_2010_scaffold_source_purged,"future>2010
scaffold+source",rich_diff_scalars,ef_5pct,EF@5%,1.5783,0.1007
chembl_future_after_2010_scaffold_source_purged,"future>2010
scaffold+source",rich_diff_scalars,precision_at_50,P@50,0.4067,0.0833
chembl_future_after_2015_scaffold_source_purged,"future>2015
scaffold+source",ecfp_absdiff_xgb,bedroc20,BEDROC20,0.3923,0.0377
chembl_future_after_2015_scaffold_source_purged,"future>2015
scaffold+source",ecfp_absdiff_xgb,ef_5pct,EF@5%,2.7772,0.6463
chembl_future_after_2015_scaffold_source_purged,"future>2015
scaffold+source",ecfp_absdiff_xgb,precision_at_50,P@50,0.46,0.1058
chembl_future_after_2015_scaffold_source_purged,"future>2015
scaffold+source",rich_diff_scalars,bedroc20,BEDROC20,0.4474,0.0151
chembl_future_after_2015_scaffold_source_purged,"future>2015
scaffold+source",rich_diff_scalars,ef_5pct,EF@5%,3.4422,0.1793
chembl_future_after_2015_scaffold_source_purged,"future>2015
scaffold+source",rich_diff_scalars,precision_at_50,P@50,0.5133,0.0231
