benchmark,protocol,support_percent,support_label,model_family,variant,roc_auc_mean,roc_auc_std,pr_auc_mean,mcc_mean,support_rows_mean,query_rows_mean,count
bindingdb_raw,best_active,5,5%,source+support base + KNN blend,active_uncertainty_diverse_frac_f0.05_base_plus_support_knn_b0.25,0.6561749754080001,0.0406779712631902,0.465787070104,0.206811110784,224.8,4272.0,25
bindingdb_raw,natural_frac,5,5%,support-only ExtraTrees,natural_frac_f0.05_support_only_extratrees,0.672411152984,0.0338839924026114,0.491966169352,0.222365826748,224.8,4272.0,25
bindingdb_raw,stratified_frac_previous,5,5%,previous stratified latent anchor,fewshot_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35_f0.05,0.6630531552000001,0.0316008493535602,0.481920875088,0.215234812876,225.0,4271.8,25
bindingdb_raw,best_active,10,10%,source+support latent anchor,active_uncertainty_diverse_frac_f0.1_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35,0.6770305146200001,0.0372864757392911,0.49519471866,0.231748029388,449.8,4047.0,25
bindingdb_raw,natural_frac,10,10%,support-only ExtraTrees,natural_frac_f0.1_support_only_extratrees,0.7086847826279999,0.0338787283369664,0.5336655806280001,0.269275346716,449.8,4047.0,25
bindingdb_raw,stratified_frac_previous,10,10%,previous stratified latent anchor,fewshot_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35_f0.1,0.697477445964,0.0344158380557435,0.522749949128,0.257132893824,449.4,4047.4,25
bindingdb_raw,best_active,20,20%,support-only ExtraTrees,active_uncertainty_diverse_frac_f0.2_support_only_extratrees,0.70774763768,0.0370817518976187,0.520613410748,0.2698361364,899.6,3597.2,25
bindingdb_raw,natural_frac,20,20%,support-only ExtraTrees,natural_frac_f0.2_support_only_extratrees,0.7471584646320001,0.0329462020227389,0.579726424496,0.323783231988,899.6,3597.2,25
bindingdb_raw,stratified_frac_previous,20,20%,previous stratified latent anchor,fewshot_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.5_f0.2,0.740271590216,0.0348549153551933,0.5799712403680001,0.314096069848,899.2,3597.6,25
bindingdb_raw,best_active,30,30%,support-only ExtraTrees,active_uncertainty_diverse_frac_f0.3_support_only_extratrees,0.726031363808,0.0374876044726766,0.5435732999880001,0.295133423304,1348.8,3148.0,25
