source,split_mode,variant,baseline,metric,n_pairs,delta_mean,delta_std,wins_favorable
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,roc_auc,4,0.1469161088832689,0.06650538690745844,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,pr_auc,4,0.1172140412757092,0.044832668085595884,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,balanced_accuracy,4,0.1089947623174664,0.061599248824441954,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,f1,4,0.09686908885270806,0.08628216152595747,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,mcc,4,0.22424926080598562,0.11862029500492276,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,brier,4,-0.027296217858002056,0.03278842710182975,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,ece_10,4,-0.03346571834296159,0.05247945750559494,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,roc_auc,4,0.13862869932186755,0.06432826719891112,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,pr_auc,4,0.10422471157570753,0.037807163437454924,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,balanced_accuracy,4,0.09743054032530903,0.049927535231958246,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,f1,4,0.08724390653345776,0.09535612062179219,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,mcc,4,0.19684507191426437,0.08730133578925126,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,brier,4,-0.024203702034097233,0.03325188786077297,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,ece_10,4,-0.03216125482665236,0.053150370597350526,3
