source,split_mode,variant,baseline,metric,n_pairs,delta_mean,delta_std,wins_favorable
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,roc_auc,5,-0.010230029123985306,0.12067456862133343,3
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,pr_auc,5,-0.005582329869293171,0.06695027042004899,4
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,balanced_accuracy,5,0.014624808986011961,0.031690581978441754,4
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,f1,5,-0.01038616983165105,0.2015310139967342,4
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,mcc,5,0.022190597711231712,0.0681218571418605,4
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,brier,5,0.02266667721300043,0.055681532152337745,2
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,ece_10,5,0.0607720331270406,0.11574951380079478,2
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,roc_auc,5,0.04526376033914449,0.09917050667773446,4
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,pr_auc,5,0.01342813045351462,0.06044821291624288,4
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,balanced_accuracy,5,0.037424098817395744,0.06509867145112953,4
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,f1,5,0.01383753646189081,0.1911482050690147,3
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,mcc,5,0.052422728688539776,0.10752452231262256,4
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,brier,5,0.0023674932965981445,0.026727847793543896,3
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,ece_10,5,0.027419403910457035,0.06044413554495686,2
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,roc_auc,5,0.09014900915467218,0.04060356609602737,5
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,pr_auc,5,0.068401171603806,0.022623410676066984,5
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,balanced_accuracy,5,0.0611566804792241,0.026438438430643703,5
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,f1,5,0.17581338092450674,0.019676572606002227,5
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,mcc,5,0.1160179145753005,0.053334981487839536,5
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,brier,5,-0.010537465696276827,0.0084278437267665,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,ece_10,5,-0.018163742290784397,0.018362632892867804,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,roc_auc,5,0.10852327856568852,0.06817891208598056,5
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,pr_auc,5,0.0757038145092573,0.030833910040474463,5
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,balanced_accuracy,5,0.0813548619570223,0.04667200379183689,5
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,f1,5,0.19819410190150882,0.047219915362555036,5
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,mcc,5,0.1560201477505788,0.09282010309964304,5
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,brier,5,-0.011377149490157529,0.009420186889263958,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,ece_10,5,-0.0166319361926292,0.01861814902421248,4
