source,split_mode,variant,baseline,metric,n_pairs,delta_mean,delta_std,wins_favorable
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,roc_auc,5,-0.0163651594391703,0.1256060117326927,2
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,pr_auc,5,0.0033882124390519,0.1249704018596411,4
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,balanced_accuracy,5,-0.0279063355287563,0.1134726240624003,2
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,f1,5,-0.0246194659449831,0.2706421658691764,2
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,mcc,5,-0.0977994837985885,0.2615467353536894,2
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,brier,5,-0.0043957589207003,0.02576993850775,3
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,ece_10,5,-0.0095434303603641,0.0491420427823356,3
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,roc_auc,5,-0.0286583600950437,0.1004446866913803,1
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,pr_auc,5,-0.0154497485407762,0.1210754256825989,3
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,balanced_accuracy,5,-0.0265562265827434,0.0977826445838993,2
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,f1,5,-0.0005206509245421,0.1986234595833384,2
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,mcc,5,-0.0842574807943612,0.2304234542744441,2
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,brier,5,-0.0015949155844389,0.0168785171233576,3
chembl_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,ece_10,5,-0.008160065569991,0.0196756069032627,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,roc_auc,4,0.1469161088832689,0.0665053869074584,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,pr_auc,4,0.1172140412757092,0.0448326680855958,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,balanced_accuracy,4,0.1089947623174664,0.0615992488244419,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,f1,4,0.096869088852708,0.0862821615259574,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,mcc,4,0.2242492608059856,0.1186202950049227,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,brier,4,-0.027296217858002,0.0327884271018297,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,ece_10,4,-0.0334657183429615,0.0524794575055949,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,roc_auc,4,0.1386286993218675,0.0643282671989111,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,pr_auc,4,0.1042247115757075,0.0378071634374549,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,balanced_accuracy,4,0.097430540325309,0.0499275352319582,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,f1,4,0.0872439065334577,0.0953561206217921,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,mcc,4,0.1968450719142643,0.0873013357892512,4
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,brier,4,-0.0242037020340972,0.0332518878607729,3
bindingdb_raw,official_datasail_c2_ecfp_source_purged,rich_scalars_only,ecfp_absdiff_xgb,ece_10,4,-0.0321612548266523,0.0531503705973505,3
