dataset,split_contract,biological_target,n_rows,positive_fraction,ecfp_roc_auc,pc_cfrl_full_roc_auc,delta_roc_auc
bindingdb,target_family,O43614,835,0.38203592814371257,0.5140610191732886,0.5344736458409274,0.020412626667638767
bindingdb,target_family,O60674,2270,0.17797356828193833,0.4496076215338576,0.5287047796419513,0.0790971581080937
bindingdb,target_family,P00519,1361,0.4533431300514328,0.48447439047768415,0.6397348425436992,0.15526045206601502
bindingdb,target_family,P00734,491,0.3360488798370672,0.4727923405837516,0.4907975460122699,0.0180052054285183
bindingdb,target_family,P00742,643,0.5007776049766719,0.5132737369632941,0.5827141502679902,0.06944041330469608
bindingdb,target_family,P04150,1510,0.25364238410596024,0.5302056570158997,0.5750785954068312,0.04487293839093143
bindingdb,target_family,P08908,664,0.40512048192771083,0.536035951249353,0.5630699731777328,0.02703402192837978
bindingdb,target_family,P10275,739,0.2922868741542625,0.5898263224984066,0.6315859358402379,0.041759613341831314
bindingdb,target_family,P11309,1595,0.3360501567398119,0.5444686975885445,0.6542649711781039,0.10979627358955935
bindingdb,target_family,P21917,456,0.34210526315789475,0.5198183760683762,0.5631623931623932,0.04334401709401703
bindingdb,target_family,P23458,934,0.1841541755888651,0.4299426234511384,0.5590207837392419,0.12907816028810354
bindingdb,target_family,P31645,402,0.26616915422885573,0.5549342626326628,0.5798035799144621,0.024869317281799308
bindingdb,target_family,P35367,1008,0.28075396825396826,0.5543925916900208,0.6782502741562082,0.12385768246618745
bindingdb,target_family,P35372,881,0.32690124858115777,0.5452237914558742,0.5634807710324152,0.018256979576541044
bindingdb,target_family,P35462,400,0.3675,0.5537898954048023,0.5785673953375816,0.024777499932779334
bindingdb,target_family,P41143,1057,0.3065279091769158,0.5738088019806984,0.5485363717514695,-0.02527243022922887
bindingdb,target_family,P41145,992,0.5514112903225806,0.5391409732350102,0.6294353265000102,0.09029435326500002
bindingdb,target_family,P42336,1146,0.3219895287958115,0.5715872667092179,0.5628973921656848,-0.008689874543533094
bindingdb,target_family,P49841,1515,0.18415841584158416,0.4569211005556135,0.5121765203976291,0.05525541984201554
bindingdb,target_family,Q01959,528,0.22348484848484848,0.43205870194295165,0.549793303017776,0.11773460107482431
bindingdb,target_family,Q99720,823,0.2503037667071689,0.563885698100738,0.6667086277163223,0.10282292961558437
bindingdb,target_family,Q9HAZ1,919,0.2883569096844396,0.5168080318504414,0.4893860712018926,-0.02742196064854885
bindingdb,target_family,Q9Y5N1,1315,0.41064638783269963,0.4704922341696536,0.5612771804062127,0.09078494623655908
