dataset,split_contract,biological_target,n_rows,positive_fraction,ecfp_roc_auc,pc_cfrl_full_roc_auc,delta_roc_auc
bindingdb,family_scaffold_source_purged,O43614,835,0.38203592814371257,0.5322774659182037,0.5395707273213288,0.00729326140312514
bindingdb,family_scaffold_source_purged,O60674,2270,0.17797356828193833,0.4356402481084121,0.524912981651863,0.08927273354345083
bindingdb,family_scaffold_source_purged,P00519,1361,0.4533431300514328,0.4987713703142155,0.6369442846935398,0.13817291437932433
bindingdb,family_scaffold_source_purged,P00734,491,0.3360488798370672,0.47269938650306753,0.4837330358802752,0.011033649377207688
bindingdb,family_scaffold_source_purged,P00742,643,0.5007776049766719,0.5121611423927556,0.5859745360964377,0.07381339370368212
bindingdb,family_scaffold_source_purged,P04150,1510,0.25364238410596024,0.5342599521361502,0.5600163098500838,0.025756357713933586
bindingdb,family_scaffold_source_purged,P08908,664,0.40512048192771083,0.5461013599360028,0.5584866594513199,0.012385299515317083
bindingdb,family_scaffold_source_purged,P10275,739,0.2922868741542625,0.5872503717867007,0.6287798314566957,0.041529459669994995
bindingdb,family_scaffold_source_purged,P11309,1595,0.3360501567398119,0.5538463842261778,0.6597738996236945,0.10592751539751666
bindingdb,family_scaffold_source_purged,P21917,456,0.34210526315789475,0.5078205128205128,0.5643162393162393,0.05649572649572654
bindingdb,family_scaffold_source_purged,P23458,934,0.1841541755888651,0.46037813587255083,0.5659410669596532,0.10556293108710235
bindingdb,family_scaffold_source_purged,P31645,402,0.26616915422885573,0.5711389196895296,0.5881672738792967,0.017028354189767114
bindingdb,family_scaffold_source_purged,P35367,1008,0.28075396825396826,0.565200438649933,0.6596661386621178,0.0944657000121848
bindingdb,family_scaffold_source_purged,P35372,881,0.32690124858115777,0.5390288317406783,0.5307259462244707,-0.008302885516207614
bindingdb,family_scaffold_source_purged,P35462,400,0.3675,0.5954263128176172,0.5654056088838697,-0.03002070393374745
bindingdb,family_scaffold_source_purged,P41143,1057,0.3065279091769158,0.5722298014248901,0.48683745136678286,-0.08539235005810725
bindingdb,family_scaffold_source_purged,P41145,992,0.5514112903225806,0.5294250559743647,0.598958568699546,0.06953351272518127
bindingdb,family_scaffold_source_purged,P42336,1146,0.3219895287958115,0.5571651791163986,0.5698137161551795,0.012648537038780883
bindingdb,family_scaffold_source_purged,P49841,1515,0.18415841584158416,0.47701714398394635,0.5506750878658175,0.07365794388187119
bindingdb,family_scaffold_source_purged,Q01959,528,0.22348484848484848,0.48170731707317077,0.5498863166597767,0.06817899958660595
bindingdb,family_scaffold_source_purged,Q99720,823,0.2503037667071689,0.5649321017765259,0.6671492187377066,0.10221711696118074
bindingdb,family_scaffold_source_purged,Q9HAZ1,919,0.2883569096844396,0.5200738560960129,0.48539899601869485,-0.034674860077318015
bindingdb,family_scaffold_source_purged,Q9Y5N1,1315,0.41064638783269963,0.4676308243727598,0.5459761051373955,0.07834528076463565
