dataset,split_contract,biological_target,n_rows,positive_fraction,ecfp_roc_auc,pc_cfrl_full_roc_auc,delta_roc_auc
chembl,family_scaffold_source_purged,CHEMBL1862,174,0.1896551724137931,0.547926069202665,0.39995701697829356,-0.1479690522243714
chembl,family_scaffold_source_purged,CHEMBL1871,462,0.3181818181818182,0.4588057445200303,0.5516682863621639,0.0928625418421336
chembl,family_scaffold_source_purged,CHEMBL2034,945,0.33121693121693124,0.5808554414203099,0.6382825453957213,0.0574271039754114
chembl,family_scaffold_source_purged,CHEMBL204,614,0.49348534201954397,0.5793617947003704,0.5256067407383825,-0.053755053961987875
chembl,family_scaffold_source_purged,CHEMBL214,541,0.43622920517560076,0.6404904140038901,0.6704084467907752,0.029918032786885096
chembl,family_scaffold_source_purged,CHEMBL2147,120,0.16666666666666666,0.46375,0.5045,0.04074999999999995
chembl,family_scaffold_source_purged,CHEMBL219,329,0.4194528875379939,0.5421883299188102,0.5456597617421656,0.0034714318233554087
chembl,family_scaffold_source_purged,CHEMBL228,555,0.4306306306306306,0.4737964090885016,0.6468274985435094,0.17303108945500778
chembl,family_scaffold_source_purged,CHEMBL231,594,0.2138047138047138,0.6695105295992176,0.717049688917365,0.04753915931814734
chembl,family_scaffold_source_purged,CHEMBL233,682,0.3724340175953079,0.5507717639267053,0.5568014570608582,0.006029693134152803
chembl,family_scaffold_source_purged,CHEMBL234,462,0.42857142857142855,0.6063284358738903,0.5938934802571166,-0.012434955616773657
chembl,family_scaffold_source_purged,CHEMBL236,816,0.5416666666666666,0.5204224840903042,0.5204618046313548,3.9320541050602564e-05
chembl,family_scaffold_source_purged,CHEMBL237,853,0.5252051582649473,0.49020612874779534,0.49774856701940035,0.007542438271605001
chembl,family_scaffold_source_purged,CHEMBL238,400,0.2675,0.5816560875251188,0.7124812605658513,0.1308251730407325
chembl,family_scaffold_source_purged,CHEMBL244,723,0.48686030428769017,0.5960931756922323,0.621332087723597,0.025238912031364746
chembl,family_scaffold_source_purged,CHEMBL262,142,0.39436619718309857,0.4487126245847176,0.41517857142857145,-0.03353405315614616
chembl,family_scaffold_source_purged,CHEMBL264,742,0.3261455525606469,0.4826074380165289,0.5706859504132231,0.08807851239669423
chembl,family_scaffold_source_purged,CHEMBL2835,1128,0.16666666666666666,0.5891891127206881,0.6504668401991851,0.061277727478497024
chembl,family_scaffold_source_purged,CHEMBL287,566,0.5265017667844523,0.516878693779425,0.6418348692777722,0.12495617549834726
chembl,family_scaffold_source_purged,CHEMBL2971,153,0.16993464052287582,0.5140823743185948,0.5705632949727438,0.056480920654149
chembl,family_scaffold_source_purged,CHEMBL4005,405,0.2716049382716049,0.4547457627118644,0.46006163328197225,0.00531587057010785
chembl,family_scaffold_source_purged,CHEMBL4203,91,0.25274725274725274,0.45716112531969305,0.5191815856777494,0.06202046035805636
chembl,family_scaffold_source_purged,CHEMBL4792,388,0.5747422680412371,0.5508764777823074,0.5818725370294877,0.030996059247180296
