"source","protocol","split","representation","seed","fold","roc_auc","pr_auc","mcc","n_train","n_test","target_overlap_rate","exact_ligand_overlap_rate","scaffold_overlap_rate","document_source_overlap_rate"
"BindingDB","Audit-15","random","ECFP-XGB","0","0","0.6606521341958691","0.4855437034128188","0.2164930153687263","17987","4497","1.0","0.9126084056037358","0.946853457860796","0.975539248387814"
"BindingDB","Audit-15","random","ECFP-XGB","0","1","0.6824692483523724","0.5029303773057394","0.2458644821603291","17987","4497","1.0","0.9117189237269292","0.9477429397376028","0.9804313987102512"
"BindingDB","Audit-15","random","ECFP-XGB","0","2","0.6858345811396094","0.4952978661712405","0.2600250590232595","17987","4497","1.0","0.906826773404492","0.9464087169223928","0.9753168779186124"
"BindingDB","Audit-15","random","ECFP-XGB","0","3","0.6797198703661534","0.4948134736259981","0.2414918420200995","17987","4497","0.9993328885923948","0.9117189237269292","0.9481876806760062","0.977762953079831"
"BindingDB","Audit-15","random","ECFP-XGB","0","4","0.6702786716200104","0.4804071684147872","0.2442042479118684","17988","4496","1.0","0.9145907473309608","0.9486209964412812","0.9833185053380784"
"BindingDB","Audit-15","random","ECFP-XGB","1","0","0.6825671556894632","0.4972539371345797","0.2458276588722822","17987","4497","1.0","0.9083833666889036","0.9450744941071826","0.9773182121414276"
"BindingDB","Audit-15","random","ECFP-XGB","1","1","0.6667355047669713","0.4695976031712108","0.2054847536314229","17987","4497","1.0","0.9148321102957528","0.9470758283299978","0.9793195463642428"
"BindingDB","Audit-15","random","ECFP-XGB","1","2","0.6853131476229578","0.5150395791921668","0.2547264256463123","17987","4497","1.0","0.8954858794752056","0.9372915276851234","0.9724260618189904"
"BindingDB","Audit-15","random","ECFP-XGB","1","3","0.674428366719339","0.4821134276745228","0.2252396087205604","17987","4497","1.0","0.9070491438736936","0.9452968645763844","0.9786524349566378"
"BindingDB","Audit-15","random","ECFP-XGB","1","4","0.6830992464104371","0.4841456064051065","0.2600028263049787","17988","4496","1.0","0.9177046263345195","0.9544039145907474","0.977535587188612"
"BindingDB","Audit-15","random","ECFP-XGB","2","0","0.6690035955347812","0.4774527585090051","0.2365717316100801","17987","4497","1.0","0.906826773404492","0.9412941961307538","0.9737602846342006"
"BindingDB","Audit-15","random","ECFP-XGB","2","1","0.6828785953622064","0.4905769483194743","0.2358721489087435","17987","4497","1.0","0.9130531465421392","0.9444073826995776","0.9790971758950412"
"BindingDB","Audit-15","random","ECFP-XGB","2","2","0.6871533456158874","0.502640419941901","0.2519775851211126","17987","4497","1.0","0.9141649988881476","0.95130086724483","0.9790971758950412"
"BindingDB","Audit-15","random","ECFP-XGB","2","3","0.6671924703804142","0.4878240450935239","0.2288539006378776","17987","4497","1.0","0.9101623304425172","0.948410051145208","0.9764287302646208"
"BindingDB","Audit-15","random","ECFP-XGB","2","4","0.6706638677512464","0.4808899219450877","0.2426940824931481","17988","4496","1.0","0.9070284697508896","0.9452846975088968","0.9770907473309608"
"BindingDB","Audit-15","random","RF-scalars","0","0","0.8280557328600034","0.6887622018795925","0.4542896426015367","17987","4497","1.0","0.9126084056037358","0.946853457860796","0.975539248387814"
"BindingDB","Audit-15","random","RF-scalars","0","1","0.8107163549662144","0.6491804044093361","0.4043704602025815","17987","4497","1.0","0.9117189237269292","0.9477429397376028","0.9804313987102512"
"BindingDB","Audit-15","random","RF-scalars","0","2","0.8233301821912167","0.662972418594999","0.4430534558820473","17987","4497","1.0","0.906826773404492","0.9464087169223928","0.9753168779186124"
"BindingDB","Audit-15","random","RF-scalars","0","3","0.8152046057277184","0.6609348158868142","0.4188018155570414","17987","4497","0.9993328885923948","0.9117189237269292","0.9481876806760062","0.977762953079831"
"BindingDB","Audit-15","random","RF-scalars","0","4","0.8237966505084542","0.6735115703513008","0.4200478086429452","17988","4496","1.0","0.9145907473309608","0.9486209964412812","0.9833185053380784"
"BindingDB","Audit-15","random","RF-scalars","1","0","0.8293094299837136","0.6765084118672297","0.4263331822904276","17987","4497","1.0","0.9083833666889036","0.9450744941071826","0.9773182121414276"
"BindingDB","Audit-15","random","RF-scalars","1","1","0.8272686775215339","0.6715671221923146","0.4277583564027809","17987","4497","1.0","0.9148321102957528","0.9470758283299978","0.9793195463642428"
"BindingDB","Audit-15","random","RF-scalars","1","2","0.812808472662117","0.6672674043062357","0.4202158927308421","17987","4497","1.0","0.8954858794752056","0.9372915276851234","0.9724260618189904"
"BindingDB","Audit-15","random","RF-scalars","1","3","0.8156049387827391","0.6509737493919467","0.4063936561737007","17987","4497","1.0","0.9070491438736936","0.9452968645763844","0.9786524349566378"
