"source","random_split","audited_split","metric","representations","spearman_rho","kendall_tau","reversed_orderings","total_orderings","reversal_rate"
"BindingDB","random","target-cluster","roc_auc","7","0.642857142857143","0.4285714285714286","6","21","0.2857142857142857"
"BindingDB","random","target-cluster","pr_auc","7","0.6071428571428572","0.33333333333333337","7","21","0.3333333333333333"
"BindingDB","random","target-cluster","mcc","7","0.642857142857143","0.4285714285714286","6","21","0.2857142857142857"
"BindingDB","random","target-cluster+scaffold+source","roc_auc","7","0.5","0.33333333333333337","7","21","0.3333333333333333"
"BindingDB","random","target-cluster+scaffold+source","pr_auc","7","0.3571428571428572","0.14285714285714288","9","21","0.42857142857142855"
"BindingDB","random","target-cluster+scaffold+source","mcc","7","0.3571428571428572","0.23809523809523814","8","21","0.38095238095238093"
"ChEMBL","random","target-cluster","roc_auc","7","0.7142857142857144","0.6190476190476191","4","21","0.19047619047619047"
"ChEMBL","random","target-cluster","pr_auc","7","0.42857142857142866","0.33333333333333337","7","21","0.3333333333333333"
"ChEMBL","random","target-cluster","mcc","7","0.10714285714285716","0.14285714285714288","9","21","0.42857142857142855"
"ChEMBL","random","target-cluster+scaffold+source","roc_auc","7","0.5357142857142858","0.4285714285714286","6","21","0.2857142857142857"
"ChEMBL","random","target-cluster+scaffold+source","pr_auc","7","0.42857142857142866","0.33333333333333337","7","21","0.3333333333333333"
"ChEMBL","random","target-cluster+scaffold+source","mcc","7","0.10714285714285716","0.14285714285714288","9","21","0.42857142857142855"
