"source","split","representation","runs","roc_auc_mean","roc_auc_std","pr_auc_mean","pr_auc_std","mcc_mean","mcc_std","n_train_mean","n_test_mean","train_retention_mean"
"BindingDB","target-cluster+scaffold+source","ChemBERTa-sym-XGB","25","0.5384549605834003","0.03510452517698499","0.34146657057144625","0.058088629061723025","0.04616085436306665","0.03291698700581653","16973.0","4496.8","0.9450254225791898"
"BindingDB","target-cluster+scaffold+source","ECFP-XGB","25","0.5183295854753528","0.014895733348108054","0.34159678701592616","0.07815452073853114","0.03754997092842902","0.027498770834947815","16973.0","4496.8","0.9450254225791898"
"BindingDB","target-cluster+scaffold+source","ExtraTrees-scalars","25","0.5866651149459821","0.03243812851794202","0.3933240111129557","0.05897763197546004","0.09406538378266294","0.034143319172487634","16973.0","4496.8","0.9450254225791898"
"BindingDB","target-cluster+scaffold+source","MolFormer-sym-XGB","25","0.5143040831769239","0.039953022625308754","0.33310957269294855","0.06431016998229859","0.00957137916275416","0.0555920292749781","16973.0","4496.8","0.9450254225791898"
"BindingDB","target-cluster+scaffold+source","PC-CFRL-scalar","25","0.5698057589871057","0.021833186373667976","0.38810610037561233","0.06329384234391523","0.08840418139445637","0.027872077213108616","16973.0","4496.8","0.9450254225791898"
"BindingDB","target-cluster+scaffold+source","PC-CFRL-full","25","0.5724337522029261","0.027349945989086785","0.38741653235611345","0.06135524105651116","0.09477458406780094","0.030939969693331838","16973.0","4496.8","0.9450254225791898"
"BindingDB","target-cluster+scaffold+source","RF-scalars","25","0.5849218682363789","0.03267541750870201","0.3993122777442494","0.06050989101188891","0.09699564822196338","0.047339564767523344","16973.0","4496.8","0.9450254225791898"
"BindingDB","random","ChemBERTa-sym-XGB","25","0.7702595551563616","0.00876628866544349","0.589364271669167","0.012591702365527018","0.3686894472745294","0.016444453384499062","17987.2","4496.8","1.0"
"BindingDB","random","ECFP-XGB","25","0.6765862680286986","0.010166589298506511","0.48969126665039203","0.013530341787241657","0.24145677307240013","0.021120788532431465","17987.2","4496.8","1.0"
"BindingDB","random","ExtraTrees-scalars","25","0.8193795320997813","0.007244820260313322","0.6687190056146517","0.012303609657603411","0.44010192406563126","0.012931144515365365","17987.2","4496.8","1.0"
"BindingDB","random","MolFormer-sym-XGB","25","0.772559170364821","0.00748935267844792","0.5927432717680867","0.011764631180785261","0.36882618513613624","0.013398447317499323","17987.2","4496.8","1.0"
"BindingDB","random","PC-CFRL-scalar","25","0.7203703717058387","0.006413153092826852","0.5414908318669555","0.010920835118836748","0.29046664386120524","0.011971517755759754","17987.2","4496.8","1.0"
"BindingDB","random","PC-CFRL-full","25","0.7268372309820137","0.006818193017639068","0.5504797635782966","0.012315812543934752","0.30110670034830167","0.014114964841765299","17987.2","4496.8","1.0"
"BindingDB","random","RF-scalars","25","0.8199772125628422","0.006799197341862645","0.666918009932588","0.011282181193539933","0.4260895135326226","0.015189859941996819","17987.2","4496.8","1.0"
"BindingDB","target-cluster","ChemBERTa-sym-XGB","25","0.5600063757730099","0.043418024929906644","0.36922685020562995","0.08473319299289123","0.06835423087481035","0.050981467467802855","17987.2","4496.8","1.0"
