"source","random_split","audited_split","metric","random_selected_representation","audited_oracle_representation","selected_hard_score","oracle_hard_score","selection_regret","selection_changed"
"BindingDB","random","target-cluster","roc_auc","RF-scalars","RF-scalars","0.6080001404085583","0.6080001404085583","0.0","0"
"BindingDB","random","target-cluster","pr_auc","ExtraTrees-scalars","RF-scalars","0.4127702705901637","0.4198379002153686","0.0070676296252049076","1"
"BindingDB","random","target-cluster","mcc","ExtraTrees-scalars","ExtraTrees-scalars","0.12322226475451796","0.12322226475451796","0.0","0"
"BindingDB","random","target-cluster+scaffold+source","roc_auc","RF-scalars","ExtraTrees-scalars","0.5849218682363789","0.5866651149459821","0.00174324670960313","1"
"BindingDB","random","target-cluster+scaffold+source","pr_auc","ExtraTrees-scalars","RF-scalars","0.3933240111129557","0.3993122777442494","0.005988266631293704","1"
"BindingDB","random","target-cluster+scaffold+source","mcc","ExtraTrees-scalars","RF-scalars","0.09406538378266294","0.09699564822196338","0.002930264439300445","1"
"ChEMBL","random","target-cluster","roc_auc","ExtraTrees-scalars","ExtraTrees-scalars","0.599845244488105","0.599845244488105","0.0","0"
"ChEMBL","random","target-cluster","pr_auc","ExtraTrees-scalars","ExtraTrees-scalars","0.4853634847411923","0.4853634847411923","0.0","0"
"ChEMBL","random","target-cluster","mcc","ExtraTrees-scalars","PC-CFRL-scalar","0.12481686590570922","0.13917393494155397","0.014357069035844758","1"
"ChEMBL","random","target-cluster+scaffold+source","roc_auc","ExtraTrees-scalars","ExtraTrees-scalars","0.5914028780849765","0.5914028780849765","0.0","0"
"ChEMBL","random","target-cluster+scaffold+source","pr_auc","ExtraTrees-scalars","ExtraTrees-scalars","0.4693917278616104","0.4693917278616104","0.0","0"
"ChEMBL","random","target-cluster+scaffold+source","mcc","ExtraTrees-scalars","PC-CFRL-scalar","0.11538650316842954","0.13972448502138718","0.024337981852957644","1"
