source,split_mode,variant,n_runs,n_train,n_test,train_retention_after_purge,target_overlap_rate,exact_ligand_overlap_rate,scaffold_overlap_rate,document_source_overlap_rate,assay_source_overlap_rate,roc_auc,pr_auc,mcc,balanced_accuracy,f1,brier,ece_10,delta_roc_auc_vs_ecfp,delta_pr_auc_vs_ecfp,delta_mcc_vs_ecfp
chembl_raw,family_scaffold_source_purged,ecfp_absdiff_xgb,25,9089 +/- 463,2377 +/- 515,0.9561 +/- 0.0131,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5363 +/- 0.0215,0.4176 +/- 0.0686,0.0464 +/- 0.0361,0.5225 +/- 0.0172,0.4917 +/- 0.1119,0.2487 +/- 0.0032,0.1168 +/- 0.0729,0.0000,0.0000,0.0000
chembl_raw,family_scaffold_source_purged,rich_diff_scalars,25,9089 +/- 463,2377 +/- 515,0.9561 +/- 0.0131,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5737 +/- 0.0644,0.4574 +/- 0.0519,0.1144 +/- 0.1043,0.5575 +/- 0.0528,0.4744 +/- 0.0815,0.2442 +/- 0.0098,0.1128 +/- 0.0621,0.0374,0.0398,0.0680
chembl_raw,family_scaffold_source_purged,rich_scalars_only,25,9089 +/- 463,2377 +/- 515,0.9561 +/- 0.0131,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5814 +/- 0.0670,0.4644 +/- 0.0549,0.1361 +/- 0.0953,0.5687 +/- 0.0489,0.4852 +/- 0.0775,0.2437 +/- 0.0098,0.1155 +/- 0.0612,0.0450,0.0467,0.0897
chembl_raw,target_family,ecfp_absdiff_xgb,25,9508 +/- 515,2377 +/- 515,1.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0943 +/- 0.0453,0.1314 +/- 0.0571,0.1199 +/- 0.0617,0.0000 +/- 0.0000,0.5451 +/- 0.0138,0.4226 +/- 0.0728,0.0653 +/- 0.0331,0.5308 +/- 0.0166,0.4997 +/- 0.1200,0.2478 +/- 0.0022,0.1143 +/- 0.0747,0.0000,0.0000,0.0000
chembl_raw,target_family,rich_diff_scalars,25,9508 +/- 515,2377 +/- 515,1.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0943 +/- 0.0453,0.1314 +/- 0.0571,0.1199 +/- 0.0617,0.0000 +/- 0.0000,0.5776 +/- 0.0608,0.4722 +/- 0.0608,0.1206 +/- 0.0866,0.5579 +/- 0.0407,0.4717 +/- 0.0757,0.2424 +/- 0.0115,0.1104 +/- 0.0607,0.0325,0.0496,0.0553
chembl_raw,target_family,rich_scalars_only,25,9508 +/- 515,2377 +/- 515,1.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0943 +/- 0.0453,0.1314 +/- 0.0571,0.1199 +/- 0.0617,0.0000 +/- 0.0000,0.5816 +/- 0.0652,0.4736 +/- 0.0637,0.1413 +/- 0.0960,0.5687 +/- 0.0466,0.4787 +/- 0.0840,0.2421 +/- 0.0104,0.1131 +/- 0.0584,0.0366,0.0510,0.0761
chembl_raw,temporal_forward,ecfp_absdiff_xgb,25,8608 +/- 1412,2870 +/- 1412,1.0000 +/- 0.0000,0.6027 +/- 0.2271,0.0268 +/- 0.0138,0.0553 +/- 0.0355,0.0357 +/- 0.0174,0.0345 +/- 0.0172,0.5052 +/- 0.0267,0.2913 +/- 0.0299,-0.0064 +/- 0.0399,0.4972 +/- 0.0206,0.3419 +/- 0.0608,0.2495 +/- 0.0031,0.2279 +/- 0.0488,0.0000,0.0000,0.0000
chembl_raw,temporal_forward,rich_diff_scalars,25,8608 +/- 1412,2870 +/- 1412,1.0000 +/- 0.0000,0.6027 +/- 0.2271,0.0268 +/- 0.0138,0.0553 +/- 0.0355,0.0357 +/- 0.0174,0.0345 +/- 0.0172,0.6156 +/- 0.0567,0.3651 +/- 0.0570,0.1241 +/- 0.0633,0.5482 +/- 0.0314,0.2616 +/- 0.0994,0.2206 +/- 0.0078,0.1737 +/- 0.0389,0.1104,0.0739,0.1305
chembl_raw,temporal_forward,rich_scalars_only,25,8608 +/- 1412,2870 +/- 1412,1.0000 +/- 0.0000,0.6027 +/- 0.2271,0.0268 +/- 0.0138,0.0553 +/- 0.0355,0.0357 +/- 0.0174,0.0345 +/- 0.0172,0.6240 +/- 0.0690,0.3764 +/- 0.0523,0.1530 +/- 0.0588,0.5592 +/- 0.0281,0.2939 +/- 0.0864,0.2205 +/- 0.0107,0.1759 +/- 0.0355,0.1188,0.0852,0.1594
chembl_raw,temporal_scaffold_source_purged,ecfp_absdiff_xgb,25,7903 +/- 1832,2870 +/- 1412,0.9070 +/- 0.0725,0.5563 +/- 0.2393,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5018 +/- 0.0273,0.2871 +/- 0.0291,0.0007 +/- 0.0434,0.5003 +/- 0.0225,0.3829 +/- 0.0515,0.2496 +/- 0.0028,0.2272 +/- 0.0501,0.0000,0.0000,0.0000
chembl_raw,temporal_scaffold_source_purged,rich_diff_scalars,25,7903 +/- 1832,2870 +/- 1412,0.9070 +/- 0.0725,0.5563 +/- 0.2393,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.6122 +/- 0.0634,0.3573 +/- 0.0408,0.1057 +/- 0.0558,0.5399 +/- 0.0282,0.2387 +/- 0.1089,0.2209 +/- 0.0096,0.1727 +/- 0.0371,0.1104,0.0701,0.1050
