source,split_mode,variant,n_runs,n_train,n_test,train_retention_after_purge,target_overlap_rate,exact_ligand_overlap_rate,scaffold_overlap_rate,document_source_overlap_rate,roc_auc,pr_auc,mcc,balanced_accuracy,f1,brier,ece_10,delta_roc_auc_vs_ecfp,delta_pr_auc_vs_ecfp,delta_mcc_vs_ecfp
bindingdb_raw,lohi_ligand_scaffold_source_purged,ecfp_absdiff_xgb,15,3554 +/- 218,6407 +/- 135,0.2211 +/- 0.0136,0.9761 +/- 0.0130,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5178 +/- 0.0176,0.3328 +/- 0.0193,0.0243 +/- 0.0292,0.5116 +/- 0.0138,0.3033 +/- 0.0510,0.2484 +/- 0.0017,0.1753 +/- 0.0100,0.0000,0.0000,0.0000
bindingdb_raw,lohi_ligand_scaffold_source_purged,rich_diff_scalars,15,3554 +/- 218,6407 +/- 135,0.2211 +/- 0.0136,0.9761 +/- 0.0130,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5612 +/- 0.0176,0.3713 +/- 0.0242,0.0845 +/- 0.0293,0.5444 +/- 0.0152,0.4136 +/- 0.0241,0.2456 +/- 0.0044,0.1710 +/- 0.0090,0.0434,0.0385,0.0602
bindingdb_raw,lohi_ligand_scaffold_source_purged,rich_scalars_only,15,3554 +/- 218,6407 +/- 135,0.2211 +/- 0.0136,0.9761 +/- 0.0130,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5569 +/- 0.0167,0.3673 +/- 0.0246,0.0794 +/- 0.0263,0.5418 +/- 0.0138,0.4094 +/- 0.0257,0.2457 +/- 0.0041,0.1699 +/- 0.0086,0.0391,0.0344,0.0550
bindingdb_raw,lohi_pair_scaffold_source_purged,ecfp_absdiff_xgb,15,3198 +/- 161,4497 +/- 75,0.1778 +/- 0.0091,0.9796 +/- 0.0085,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5177 +/- 0.0129,0.3272 +/- 0.0106,0.0308 +/- 0.0233,0.5146 +/- 0.0111,0.3037 +/- 0.0280,0.2481 +/- 0.0012,0.1807 +/- 0.0104,0.0000,0.0000,0.0000
bindingdb_raw,lohi_pair_scaffold_source_purged,rich_diff_scalars,15,3198 +/- 161,4497 +/- 75,0.1778 +/- 0.0091,0.9796 +/- 0.0085,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5540 +/- 0.0181,0.3603 +/- 0.0273,0.0738 +/- 0.0321,0.5385 +/- 0.0164,0.3946 +/- 0.0289,0.2448 +/- 0.0042,0.1737 +/- 0.0134,0.0363,0.0331,0.0430
bindingdb_raw,lohi_pair_scaffold_source_purged,rich_scalars_only,15,3198 +/- 161,4497 +/- 75,0.1778 +/- 0.0091,0.9796 +/- 0.0085,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5515 +/- 0.0178,0.3573 +/- 0.0260,0.0770 +/- 0.0283,0.5399 +/- 0.0141,0.3937 +/- 0.0256,0.2446 +/- 0.0044,0.1716 +/- 0.0145,0.0338,0.0302,0.0461
chembl_raw,lohi_ligand_scaffold_source_purged,ecfp_absdiff_xgb,15,2483 +/- 313,3240 +/- 131,0.2872 +/- 0.0355,0.9892 +/- 0.0159,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5313 +/- 0.0251,0.4102 +/- 0.0393,0.0349 +/- 0.0368,0.5146 +/- 0.0153,0.3525 +/- 0.1022,0.2488 +/- 0.0026,0.1110 +/- 0.0372,0.0000,0.0000,0.0000
chembl_raw,lohi_ligand_scaffold_source_purged,rich_diff_scalars,15,2483 +/- 313,3240 +/- 131,0.2872 +/- 0.0355,0.9892 +/- 0.0159,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5453 +/- 0.0523,0.4371 +/- 0.0604,0.0700 +/- 0.0700,0.5330 +/- 0.0340,0.4174 +/- 0.0560,0.2468 +/- 0.0087,0.1082 +/- 0.0436,0.0140,0.0269,0.0351
chembl_raw,lohi_ligand_scaffold_source_purged,rich_scalars_only,15,2483 +/- 313,3240 +/- 131,0.2872 +/- 0.0355,0.9892 +/- 0.0159,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5507 +/- 0.0506,0.4425 +/- 0.0603,0.0700 +/- 0.0704,0.5332 +/- 0.0344,0.4264 +/- 0.0617,0.2465 +/- 0.0091,0.1098 +/- 0.0431,0.0195,0.0323,0.0351
chembl_raw,lohi_pair_scaffold_source_purged,ecfp_absdiff_xgb,15,2151 +/- 195,2377 +/- 20,0.2263 +/- 0.0204,0.9843 +/- 0.0229,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5471 +/- 0.0263,0.4233 +/- 0.0194,0.0547 +/- 0.0552,0.5241 +/- 0.0253,0.3393 +/- 0.1234,0.2465 +/- 0.0021,0.1121 +/- 0.0093,0.0000,0.0000,0.0000
chembl_raw,lohi_pair_scaffold_source_purged,rich_diff_scalars,15,2151 +/- 195,2377 +/- 20,0.2263 +/- 0.0204,0.9843 +/- 0.0229,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5428 +/- 0.0431,0.4328 +/- 0.0390,0.0484 +/- 0.0753,0.5241 +/- 0.0376,0.4428 +/- 0.0467,0.2495 +/- 0.0098,0.1170 +/- 0.0287,-0.0043,0.0095,-0.0063
chembl_raw,lohi_pair_scaffold_source_purged,rich_scalars_only,15,2151 +/- 195,2377 +/- 20,0.2263 +/- 0.0204,0.9843 +/- 0.0229,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5384 +/- 0.0375,0.4281 +/- 0.0356,0.0407 +/- 0.0666,0.5204 +/- 0.0335,0.4425 +/- 0.0370,0.2497 +/- 0.0085,0.1164 +/- 0.0250,-0.0087,0.0049,-0.0140
