source,condition,split_mode,variant,n_runs,n_train,n_test,train_retention_after_purge,test_positive_rate,exact_ligand_overlap_rate,scaffold_overlap_rate,document_source_overlap_rate,assay_source_overlap_rate,roc_auc,pr_auc,mcc,balanced_accuracy,f1,brier,ece_10,delta_roc_auc_vs_ecfp,delta_pr_auc_vs_ecfp,delta_mcc_vs_ecfp
chembl_raw,all_pairs,family_scaffold_source_purged,ecfp_absdiff_xgb,15,9089 +/- 469,2377 +/- 522,0.9561 +/- 0.0133,0.3876 +/- 0.0826,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5325 +/- 0.0174,0.4134 +/- 0.0748,0.0425 +/- 0.0408,0.5204 +/- 0.0192,0.4909 +/- 0.1227,0.2492 +/- 0.0027,0.1167 +/- 0.0753,0.0000,0.0000,0.0000
chembl_raw,all_pairs,family_scaffold_source_purged,rich_diff_scalars,15,9089 +/- 469,2377 +/- 522,0.9561 +/- 0.0133,0.3876 +/- 0.0826,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5707 +/- 0.0654,0.4559 +/- 0.0515,0.1139 +/- 0.1083,0.5570 +/- 0.0547,0.4767 +/- 0.0816,0.2447 +/- 0.0084,0.1123 +/- 0.0656,0.0383,0.0426,0.0714
chembl_raw,all_pairs,family_scaffold_source_purged,rich_scalars_only,15,9089 +/- 469,2377 +/- 522,0.9561 +/- 0.0133,0.3876 +/- 0.0826,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5778 +/- 0.0720,0.4623 +/- 0.0568,0.1260 +/- 0.1140,0.5638 +/- 0.0581,0.4830 +/- 0.0804,0.2443 +/- 0.0080,0.1133 +/- 0.0674,0.0453,0.0490,0.0835
chembl_raw,high_margin,family_scaffold_source_purged,ecfp_absdiff_xgb,15,6838 +/- 408,1779 +/- 391,0.9610 +/- 0.0221,0.3861 +/- 0.0906,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5315 +/- 0.0186,0.4118 +/- 0.0876,0.0392 +/- 0.0369,0.5190 +/- 0.0177,0.4834 +/- 0.1236,0.2483 +/- 0.0023,0.1183 +/- 0.0790,0.0000,0.0000,0.0000
chembl_raw,high_margin,family_scaffold_source_purged,rich_diff_scalars,15,6838 +/- 408,1779 +/- 391,0.9610 +/- 0.0221,0.3861 +/- 0.0906,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5666 +/- 0.0878,0.4684 +/- 0.0654,0.0916 +/- 0.1211,0.5466 +/- 0.0618,0.4494 +/- 0.0768,0.2456 +/- 0.0131,0.1263 +/- 0.0652,0.0352,0.0565,0.0523
chembl_raw,high_margin,family_scaffold_source_purged,rich_scalars_only,15,6838 +/- 408,1779 +/- 391,0.9610 +/- 0.0221,0.3861 +/- 0.0906,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5790 +/- 0.1004,0.4746 +/- 0.0678,0.1246 +/- 0.1434,0.5630 +/- 0.0724,0.4561 +/- 0.1012,0.2441 +/- 0.0125,0.1236 +/- 0.0666,0.0476,0.0628,0.0853
chembl_raw,multi_source,family_scaffold_source_purged,ecfp_absdiff_xgb,15,1611 +/- 191,412 +/- 174,0.9769 +/- 0.0167,0.5705 +/- 0.0805,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5236 +/- 0.0563,0.5915 +/- 0.0805,-0.0036 +/- 0.0502,0.4980 +/- 0.0184,0.2201 +/- 0.0711,0.2540 +/- 0.0046,0.1130 +/- 0.0760,0.0000,0.0000,0.0000
chembl_raw,multi_source,family_scaffold_source_purged,rich_diff_scalars,15,1611 +/- 191,412 +/- 174,0.9769 +/- 0.0167,0.5705 +/- 0.0805,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5943 +/- 0.0470,0.6512 +/- 0.0777,0.1351 +/- 0.0749,0.5666 +/- 0.0376,0.5050 +/- 0.1283,0.2472 +/- 0.0102,0.1199 +/- 0.0485,0.0706,0.0597,0.1387
chembl_raw,multi_source,family_scaffold_source_purged,rich_scalars_only,15,1611 +/- 191,412 +/- 174,0.9769 +/- 0.0167,0.5705 +/- 0.0805,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5873 +/- 0.0475,0.6478 +/- 0.0709,0.1142 +/- 0.0753,0.5560 +/- 0.0369,0.5063 +/- 0.1094,0.2476 +/- 0.0088,0.1208 +/- 0.0442,0.0637,0.0563,0.1178
chembl_raw,high_similarity,family_scaffold_source_purged,ecfp_absdiff_xgb,15,2713 +/- 172,706 +/- 203,0.9609 +/- 0.0148,0.3450 +/- 0.0800,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5335 +/- 0.0200,0.3679 +/- 0.0841,-0.0107 +/- 0.0377,0.4954 +/- 0.0153,0.2424 +/- 0.1785,0.2461 +/- 0.0026,0.1464 +/- 0.0770,0.0000,0.0000,0.0000
chembl_raw,high_similarity,family_scaffold_source_purged,rich_diff_scalars,15,2713 +/- 172,706 +/- 203,0.9609 +/- 0.0148,0.3450 +/- 0.0800,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5587 +/- 0.0615,0.4217 +/- 0.0709,0.1120 +/- 0.0709,0.5545 +/- 0.0358,0.3889 +/- 0.0778,0.2385 +/- 0.0081,0.1289 +/- 0.0735,0.0253,0.0538,0.1226
chembl_raw,high_similarity,family_scaffold_source_purged,rich_scalars_only,15,2713 +/- 172,706 +/- 203,0.9609 +/- 0.0148,0.3450 +/- 0.0800,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5669 +/- 0.0523,0.4189 +/- 0.0654,0.1042 +/- 0.0675,0.5508 +/- 0.0341,0.3855 +/- 0.0722,0.2379 +/- 0.0079,0.1283 +/- 0.0747,0.0334,0.0510,0.1149
chembl_raw,equal_relation_rebuilt,family_scaffold_source_purged,ecfp_absdiff_xgb,15,7830 +/- 460,2041 +/- 520,0.9593 +/- 0.0165,0.3993 +/- 0.0809,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5260 +/- 0.0129,0.4114 +/- 0.0823,0.0750 +/- 0.0330,0.5288 +/- 0.0086,0.5499 +/- 0.0938,0.2476 +/- 0.0011,0.1097 +/- 0.0587,0.0000,0.0000,0.0000
