benchmark,subset,split_mode,variant,feature_family,representation,pair_feature_mode,n_runs,test_positive_rate,target_overlap_rate,roc_auc,pr_auc,mcc,balanced_accuracy,f1,label_score_spearman,delta_roc_auc_vs_ecfp,delta_pr_auc_vs_ecfp,delta_mcc_vs_ecfp
ACNet-Few,MMP_AC_Few_pretrained_representation,random,rich_pair_only_xgb,pccfrl,rich_pair,diff_common_scalar,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8271 +/- 0.0403,0.5928 +/- 0.0717,0.4394 +/- 0.0939,0.7370 +/- 0.0511,0.5763 +/- 0.0691,0.4742 +/- 0.0587,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,ecfp_absdiff_xgb,fingerprint,ECFP4,absdiff,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.7875 +/- 0.0482,0.5637 +/- 0.0769,0.4411 +/- 0.0932,0.7182 +/- 0.0525,0.5621 +/- 0.0810,0.4172 +/- 0.0705,0.0000,0.0000,0.0000
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_PretrainGNNs_concat_xgb,published_pretrained_molecular_representation,PretrainGNNs,concat,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8387 +/- 0.0401,0.6078 +/- 0.0725,0.4697 +/- 0.0844,0.7450 +/- 0.0495,0.5931 +/- 0.0668,0.4910 +/- 0.0583,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_GraphLoG_concat_xgb,published_pretrained_molecular_representation,GraphLoG,concat,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8369 +/- 0.0295,0.6056 +/- 0.0730,0.4670 +/- 0.0664,0.7495 +/- 0.0372,0.5952 +/- 0.0492,0.4884 +/- 0.0430,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_GraphLoG_sym_xgb,published_pretrained_molecular_representation,GraphLoG,sym,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8025 +/- 0.0419,0.5728 +/- 0.0794,0.3737 +/- 0.0891,0.6762 +/- 0.0444,0.5011 +/- 0.0726,0.4386 +/- 0.0611,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_PretrainGNNs_sym_xgb,published_pretrained_molecular_representation,PretrainGNNs,sym,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8232 +/- 0.0392,0.5860 +/- 0.0567,0.3950 +/- 0.0860,0.6802 +/- 0.0402,0.5109 +/- 0.0683,0.4684 +/- 0.0567,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_Pretrain8_concat_xgb,published_pretrained_molecular_representation,Pretrain8,concat,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8503 +/- 0.0286,0.6270 +/- 0.0620,0.4782 +/- 0.0696,0.7521 +/- 0.0380,0.6026 +/- 0.0523,0.5077 +/- 0.0416,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_Pretrain8_sym_xgb,published_pretrained_molecular_representation,Pretrain8,sym,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8296 +/- 0.0372,0.5999 +/- 0.0749,0.4049 +/- 0.0752,0.6907 +/- 0.0411,0.5241 +/- 0.0649,0.4779 +/- 0.0544,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_ChemBERT_concat_xgb,published_pretrained_molecular_representation,ChemBERT,concat,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8386 +/- 0.0315,0.6184 +/- 0.0602,0.4492 +/- 0.0645,0.7378 +/- 0.0363,0.5810 +/- 0.0484,0.4908 +/- 0.0458,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_MAT_concat_xgb,published_pretrained_molecular_representation,MAT,concat,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8349 +/- 0.0334,0.5930 +/- 0.0643,0.4383 +/- 0.0687,0.7353 +/- 0.0409,0.5738 +/- 0.0526,0.4855 +/- 0.0485,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_ChemBERT_sym_xgb,published_pretrained_molecular_representation,ChemBERT,sym,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.7909 +/- 0.0340,0.5830 +/- 0.0677,0.3995 +/- 0.1036,0.6807 +/- 0.0489,0.5112 +/- 0.0831,0.4217 +/- 0.0496,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_MAT_sym_xgb,published_pretrained_molecular_representation,MAT,sym,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8057 +/- 0.0359,0.5808 +/- 0.0596,0.4108 +/- 0.0687,0.6971 +/- 0.0372,0.5340 +/- 0.0568,0.4431 +/- 0.0526,,,
