experiment,source,condition,split_mode,variant,baseline,metric,n,mean_delta_favorable,ci95_low,ci95_high,win_rate,cliffs_delta,wilcoxon_p,holm_p
raw_chembl,,,target_family,rich_diff_scalars,ecfp_absdiff_xgb,roc_auc,25,0.0325,0.0131,0.0539,0.64,0.28,0.0551,1.0
raw_chembl,,,target_family,rich_diff_scalars,ecfp_absdiff_xgb,pr_auc,25,0.0496,0.0241,0.0739,0.8,0.6,0.0018,0.2034
raw_chembl,,,target_family,rich_diff_scalars,ecfp_absdiff_xgb,mcc,25,0.0553,0.0163,0.0971,0.64,0.28,0.0318,1.0
raw_chembl,,,target_family,rich_diff_scalars,ecfp_absdiff_xgb,brier,25,0.0054,0.002,0.0091,0.76,0.52,0.0056,0.5914
raw_chembl,,,target_family,rich_diff_scalars,ecfp_absdiff_xgb,ece_10,25,0.0039,-0.0093,0.0154,0.68,0.36,0.615,1.0
raw_chembl,,,target_family,rich_scalars_only,ecfp_absdiff_xgb,roc_auc,25,0.0366,0.0126,0.0597,0.64,0.28,0.0318,1.0
raw_chembl,,,target_family,rich_scalars_only,ecfp_absdiff_xgb,pr_auc,25,0.051,0.0307,0.0733,0.88,0.76,0.0,0.003
raw_chembl,,,target_family,rich_scalars_only,ecfp_absdiff_xgb,mcc,25,0.0761,0.0362,0.1162,0.68,0.36,0.0056,0.5914
raw_chembl,,,target_family,rich_scalars_only,ecfp_absdiff_xgb,brier,25,0.0057,0.0025,0.0089,0.8,0.6,0.0061,0.6374
raw_chembl,,,target_family,rich_scalars_only,ecfp_absdiff_xgb,ece_10,25,0.0013,-0.0108,0.0134,0.6,0.2,0.9158,1.0
raw_chembl,,,family_scaffold_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,roc_auc,25,0.0374,0.0173,0.0571,0.64,0.28,0.0081,0.8149
raw_chembl,,,family_scaffold_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,pr_auc,25,0.0398,0.0224,0.0589,0.76,0.52,0.0006,0.0712
raw_chembl,,,family_scaffold_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,mcc,25,0.068,0.0308,0.1065,0.68,0.36,0.0088,0.8646
raw_chembl,,,family_scaffold_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,brier,25,0.0046,0.0019,0.0075,0.8,0.6,0.0136,1.0
raw_chembl,,,family_scaffold_source_purged,rich_diff_scalars,ecfp_absdiff_xgb,ece_10,25,0.004,-0.0053,0.0128,0.6,0.2,0.5965,1.0
raw_chembl,,,family_scaffold_source_purged,rich_scalars_only,ecfp_absdiff_xgb,roc_auc,25,0.045,0.0236,0.0666,0.64,0.28,0.0025,0.2759
raw_chembl,,,family_scaffold_source_purged,rich_scalars_only,ecfp_absdiff_xgb,pr_auc,25,0.0467,0.0296,0.0643,1.0,1.0,0.0,0.0
raw_chembl,,,family_scaffold_source_purged,rich_scalars_only,ecfp_absdiff_xgb,mcc,25,0.0897,0.0557,0.1237,0.92,0.84,0.0,0.0004
raw_chembl,,,family_scaffold_source_purged,rich_scalars_only,ecfp_absdiff_xgb,brier,25,0.0051,0.002,0.0083,0.76,0.52,0.0051,0.5477
raw_chembl,,,family_scaffold_source_purged,rich_scalars_only,ecfp_absdiff_xgb,ece_10,25,0.0012,-0.0103,0.012,0.64,0.28,0.7915,1.0
raw_chembl,,,temporal_forward,rich_diff_scalars,ecfp_absdiff_xgb,roc_auc,25,0.1104,0.0911,0.1286,1.0,1.0,0.0,0.0
raw_chembl,,,temporal_forward,rich_diff_scalars,ecfp_absdiff_xgb,pr_auc,25,0.0739,0.0583,0.0909,1.0,1.0,0.0,0.0
raw_chembl,,,temporal_forward,rich_diff_scalars,ecfp_absdiff_xgb,mcc,25,0.1305,0.103,0.1578,0.96,0.92,0.0,0.0
raw_chembl,,,temporal_forward,rich_diff_scalars,ecfp_absdiff_xgb,brier,25,0.0289,0.0256,0.0326,1.0,1.0,0.0,0.0
raw_chembl,,,temporal_forward,rich_diff_scalars,ecfp_absdiff_xgb,ece_10,25,0.0542,0.0484,0.0599,1.0,1.0,0.0,0.0
raw_chembl,,,temporal_forward,rich_scalars_only,ecfp_absdiff_xgb,roc_auc,25,0.1188,0.0973,0.1421,1.0,1.0,0.0,0.0
raw_chembl,,,temporal_forward,rich_scalars_only,ecfp_absdiff_xgb,pr_auc,25,0.0852,0.0666,0.1034,0.96,0.92,0.0,0.0
