experiment,split_mode,variant,seed,train_source,test_source,target_accession,target_display,n_test,positive_rate,activity_delta_mean,tanimoto_mean,n_pair_scaffolds,n_document_sources_mean,pr_auc,roc_auc,mcc,base_rate,bedroc20,precision_at_1pct,ef_1pct,ap_at_1pct,hits_at_1pct,precision_at_5pct,ef_5pct,ap_at_5pct,hits_at_5pct,precision_at_10pct,ef_10pct,ap_at_10pct,hits_at_10pct,precision_at_50,hits_at_50,precision_at_100,hits_at_100,cutoff_year
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,P11309,Serine/threonine-protein kinase pim-1,1595,0.3361,0.5684,0.7625,456,1.3843,0.3625,0.5201,0.0246,0.3361,0.3884,0.5625,1.6739,0.4982,9,0.3375,1.0043,0.1879,27,0.3812,1.1345,0.1701,61,0.42,21,0.33,33,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,P35367,Histamine H1 receptor,1008,0.2808,0.5486,0.7844,373,1.2867,0.335,0.5598,0.0612,0.2808,0.4071,0.6364,2.2666,0.4834,7,0.3725,1.327,0.2184,19,0.4158,1.4812,0.1965,42,0.38,19,0.41,41,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,P00519,Tyrosine-protein kinase ABL1,1361,0.4533,0.7713,0.7612,420,1.5129,0.4806,0.5333,0.0634,0.4533,0.5089,0.5714,1.2605,0.2445,8,0.5217,1.1509,0.2872,36,0.4891,1.0788,0.2557,67,0.54,27,0.5,50,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,O43614,Orexin receptor type 2,835,0.382,0.6712,0.7624,403,1.7078,0.4342,0.5692,0.0921,0.382,0.3895,0.4444,1.1634,0.3179,4,0.3571,0.9348,0.1944,15,0.369,0.966,0.1646,31,0.32,16,0.36,36,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,P35372,Mu-type opioid receptor,881,0.3269,0.476,0.7833,338,1.2633,0.3967,0.5509,0.0263,0.3269,0.5363,0.6667,2.0394,0.5981,6,0.6667,2.0394,0.4774,30,0.4607,1.4092,0.3135,41,0.64,32,0.43,43,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,O60674,Tyrosine-protein kinase JAK2,2270,0.178,0.3334,0.773,902,1.4004,0.2019,0.5452,0.0391,0.178,0.217,0.2609,1.4658,0.1565,6,0.2193,1.2322,0.0711,25,0.1938,1.0891,0.0546,44,0.22,11,0.22,22,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,P49841,Glycogen synthase kinase-3 beta,1515,0.1842,0.384,0.7664,422,1.7452,0.2178,0.4987,-0.0355,0.1842,0.3053,0.625,3.3938,0.3753,10,0.3684,2.0006,0.2093,28,0.2039,1.1075,0.1105,31,0.48,24,0.3,30,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,P00742,Coagulation factor X,643,0.5008,0.9152,0.7789,364,1.367,0.5056,0.488,-0.037,0.5008,0.5154,1.0,1.9969,1.0,7,0.5152,1.0287,0.389,17,0.4769,0.9524,0.3023,31,0.48,24,0.47,47,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,P04150,Glucocorticoid receptor,1510,0.2536,0.4826,0.7646,608,1.2841,0.3002,0.5425,0.0529,0.2536,0.4084,0.5625,2.2177,0.359,9,0.5,1.9713,0.2781,38,0.3444,1.3577,0.1802,52,0.52,26,0.44,44,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,P23458,Tyrosine-protein kinase JAK1,934,0.1842,0.3266,0.7583,589,1.6478,0.2949,0.6976,0.1991,0.1842,0.3479,0.3,1.6291,0.1042,3,0.383,2.0797,0.1355,18,0.3511,1.9064,0.1244,33,0.36,18,0.36,36,
