experiment,split_mode,variant,seed,train_source,test_source,bin,bin_left,bin_right,n,mean_prob,observed_rate,cutoff_year
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,1,0.1,0.2,24,0.1835,0.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,2,0.2,0.3,206,0.2521,0.0194,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,3,0.3,0.4,619,0.3624,0.2036,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,4,0.4,0.5,8487,0.4668,0.2962,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,5,0.5,0.6,13034,0.5196,0.3316,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,6,0.6,0.7,62,0.6428,0.4516,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,7,0.7,0.8,52,0.75,0.7308,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,8,0.8,0.9,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,1,0.1,0.2,370,0.1844,0.0054,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,2,0.2,0.3,602,0.2531,0.1545,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,3,0.3,0.4,2046,0.3706,0.2224,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,4,0.4,0.5,10728,0.4545,0.2838,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,5,0.5,0.6,6919,0.5378,0.3765,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,6,0.6,0.7,1709,0.6425,0.4359,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,7,0.7,0.8,95,0.7198,0.7789,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,8,0.8,0.9,15,0.8224,0.8667,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,1,0.1,0.2,392,0.1699,0.0077,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,2,0.2,0.3,328,0.2524,0.186,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,3,0.3,0.4,1988,0.3679,0.2012,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,4,0.4,0.5,10570,0.4553,0.2794,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,5,0.5,0.6,7228,0.5392,0.3809,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,6,0.6,0.7,1747,0.644,0.391,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,7,0.7,0.8,231,0.7175,0.7749,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,8,0.8,0.9,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,0,0.0,0.1,521,0.0495,0.0115,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,1,0.1,0.2,755,0.1589,0.1113,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,2,0.2,0.3,2620,0.2602,0.2092,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,3,0.3,0.4,6244,0.3543,0.2755,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,4,0.4,0.5,7060,0.4473,0.3229,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,5,0.5,0.6,3642,0.5408,0.374,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,6,0.6,0.7,1053,0.6396,0.5432,
