experiment,split_mode,variant,seed,train_source,test_source,coverage,accuracy,risk,positive_precision,positive_lift,cutoff_year
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.1,0.767,0.233,0.3815,1.2198,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.2,0.7096,0.2904,0.37,1.1831,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.4,0.6173,0.3827,0.3471,1.1099,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.6,0.5247,0.4753,0.3336,1.0665,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.8,0.4842,0.5158,0.3279,1.0484,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,1.0,0.4928,0.5072,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.1,0.7137,0.2863,0.4562,1.4587,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.2,0.6845,0.3155,0.4263,1.363,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.4,0.6616,0.3384,0.3916,1.2521,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.6,0.6447,0.3553,0.3601,1.1514,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.8,0.6282,0.3718,0.3409,1.09,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,0,chembl_raw,bindingdb_raw,1.0,0.6043,0.3957,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.1,0.6932,0.3068,0.4331,1.3847,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.2,0.6627,0.3373,0.4352,1.3914,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.4,0.657,0.343,0.3964,1.2674,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.6,0.635,0.365,0.3625,1.1589,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.8,0.6176,0.3824,0.3405,1.0887,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,0,chembl_raw,bindingdb_raw,1.0,0.5994,0.4006,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.1,0.8804,0.1196,0.5754,1.8397,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.2,0.8286,0.1714,0.4701,1.5031,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.4,0.7733,0.2267,0.3996,1.2777,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.6,0.733,0.267,0.3716,1.1881,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.8,0.6991,0.3009,0.3486,1.1145,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,1.0,0.6652,0.3348,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0.1,0.7688,0.2312,0.3975,1.271,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0.2,0.704,0.296,0.3665,1.1717,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0.4,0.6346,0.3654,0.3411,1.0907,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0.6,0.5341,0.4659,0.334,1.0679,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0.8,0.4915,0.5085,0.3269,1.0454,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,1.0,0.4933,0.5067,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0.1,0.7426,0.2574,0.4562,1.4587,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0.2,0.6913,0.3087,0.4198,1.3424,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0.4,0.6644,0.3356,0.3915,1.2517,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0.6,0.6446,0.3554,0.3635,1.1623,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0.8,0.6265,0.3735,0.3409,1.09,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,1.0,0.608,0.392,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,0.1,0.7421,0.2579,0.4429,1.416,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,0.2,0.6684,0.3316,0.4307,1.3772,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,0.4,0.6649,0.3351,0.3968,1.2688,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,0.6,0.6481,0.3519,0.3643,1.1649,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,0.8,0.6278,0.3722,0.3403,1.0882,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,1.0,0.609,0.391,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,0.1,0.8724,0.1276,0.5576,1.7828,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,0.2,0.8234,0.1766,0.4701,1.5031,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,0.4,0.7698,0.2302,0.4069,1.3011,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,0.6,0.73,0.27,0.3729,1.1924,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,0.8,0.6985,0.3015,0.3465,1.1077,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,1.0,0.665,0.335,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0.1,0.7755,0.2245,0.4362,1.3947,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0.2,0.6982,0.3018,0.3756,1.2009,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0.4,0.6406,0.3594,0.3467,1.1085,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0.6,0.5307,0.4693,0.3333,1.0656,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0.8,0.4909,0.5091,0.3269,1.0454,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,1.0,0.4884,0.5116,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0.1,0.7221,0.2779,0.4558,1.4572,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0.2,0.6856,0.3144,0.4347,1.39,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0.4,0.665,0.335,0.3905,1.2485,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0.6,0.6507,0.3493,0.3599,1.1509,
