"target_chembl_id","uniprot_accession","sequence_length","chembl_cluster","bindingdb_cluster","chembl_n_rows","chembl_delta_roc_auc","bindingdb_n_rows","bindingdb_delta_roc_auc"
"CHEMBL1862","P00519","1130","9","1","174","-0.1479690522243714","1361","0.13817291437932433"
"CHEMBL1871","P10275","920","9","1","462","0.0928625418421336","739","0.041529459669994995"
"CHEMBL2034","P04150","777","9","1","945","0.0574271039754114","1510","0.025756357713933586"
"CHEMBL204","P00734","622","9","1","614","-0.053755053961987875","491","0.011033649377207688"
"CHEMBL214","P08908","422","2","1","541","0.029918032786885096","664","0.012385299515317083"
"CHEMBL2147","P11309","313","8","4","120","0.04074999999999995","1595","0.10592751539751666"
"CHEMBL219","P21917","419","3","9","329","0.0034714318233554087","456","0.05649572649572654"
"CHEMBL228","P31645","630","6","7","555","0.17303108945500778","402","0.017028354189767114"
"CHEMBL231","P35367","487","2","0","594","0.04753915931814734","1008","0.0944657000121848"
"CHEMBL233","P35372","400","5","2","682","0.006029693134152803","881","-0.008302885516207614"
"CHEMBL234","P35462","400","1","2","462","-0.012434955616773657","400","-0.03002070393374745"
"CHEMBL236","P41143","372","5","5","816","3.9320541050602564e-05","1057","-0.08539235005810725"
"CHEMBL237","P41145","380","5","2","853","0.007542438271605001","992","0.06953351272518127"
"CHEMBL238","Q01959","620","6","5","400","0.1308251730407325","528","0.06817899958660595"
"CHEMBL244","P00742","488","9","1","723","0.025238912031364746","643","0.07381339370368212"
"CHEMBL262","P49841","420","9","8","142","-0.03353405315614616","1515","0.07365794388187119"
"CHEMBL264","Q9Y5N1","445","0","6","742","0.08807851239669423","1315","0.07834528076463565"
"CHEMBL2835","P23458","1154","2","0","1128","0.061277727478497024","934","0.10556293108710235"
"CHEMBL287","Q99720","223","4","3","566","0.12495617549834726","823","0.10221711696118074"
"CHEMBL2971","O60674","1132","2","0","153","0.056480920654149","2270","0.08927273354345083"
"CHEMBL4005","P42336","1068","2","0","405","0.00531587057010785","1146","0.012648537038780883"
"CHEMBL4203","Q9HAZ1","481","7","0","91","0.06202046035805636","919","-0.034674860077318015"
"CHEMBL4792","O43614","444","1","2","388","0.030996059247180296","835","0.00729326140312514"
