benchmark,source,condition,split_mode,baseline_variant,candidate_variant,baseline_roc_auc,candidate_roc_auc,delta_roc_auc,baseline_pr_auc,candidate_pr_auc,delta_pr_auc,baseline_mcc,candidate_mcc,delta_mcc,n_train_mean,n_test_mean,target_overlap_rate_mean,exact_ligand_overlap_rate_mean,scaffold_overlap_rate_mean,document_source_overlap_rate_mean
ACNet,ACNet,default,family_exact_ligand_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5644254808261997,0.6373190438329392,0.072893563,0.2036102337461021,0.2436251799053801,0.0400149462,0.0953648425309496,0.144378782649261,0.0490139401,92414.2,24610.8,0.0,0.0,0.1281035459686723,
ACNet,ACNet,default,family_scaffold_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5634829439806377,0.635352616650157,0.0718696727,0.2020944414580776,0.2421305681471247,0.0400361267,0.0903660150033347,0.142344943252942,0.0519789282,87296.56,24610.8,0.0,0.0,0.0,
ACNet,ACNet,default,target_family,ecfp_absdiff_xgb,rich_diff_scalars,0.5700727748046549,0.6398398841956703,0.0697671094,0.208302194006691,0.2438759108763324,0.0355737169,0.1056339210881588,0.1472553561287926,0.041621435,98443.2,24610.8,0.0,0.2393507887902891,0.3286146301450413,
BindingDB raw,BindingDB raw,default,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5188309603455805,0.5741784616247725,0.0553475013,0.3406828103771475,0.3891744980189028,0.0484916876,0.0392783038912506,0.0973404577225521,0.0580621538,16973.0,4496.8,0.0,0.0,0.0,0.0
BindingDB raw,BindingDB raw,default,target_family,ecfp_absdiff_xgb,rich_diff_scalars,0.515047805405658,0.5813883516983175,0.0663405463,0.3383450370190309,0.3985342734631152,0.0601892364,0.0365324456968297,0.0999344850329186,0.0634020393,17987.2,4496.8,0.0,0.0852203325983683,0.1938298816972787,0.1739749777514878
ChEMBL raw,ChEMBL raw,default,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5363290504944555,0.5736810512590836,0.0373520008,0.4176464425500821,0.457436362835829,0.0397899203,0.0463904534649257,0.1144186646070853,0.0680282111,9088.8,2377.0,0.0,0.0,0.0,0.0
ChEMBL raw,ChEMBL raw,default,target_family,ecfp_absdiff_xgb,rich_diff_scalars,0.5450543492937231,0.5775882070850552,0.0325338578,0.4225720290003933,0.4721523398661764,0.0495803109,0.0652580233563321,0.1205630389251811,0.0553050156,9508.0,2377.0,0.0,0.0942583543223823,0.1313775287669035,0.1199224712810062
ChEMBL raw,ChEMBL raw,default,temporal_forward,ecfp_absdiff_xgb,rich_diff_scalars,0.5051726437404683,0.6156208776158578,0.1104482339,0.2912794232607211,0.3651329525215254,0.0738535293,-0.006394247637062,0.124076523324572,0.130470771,8607.6,2870.4,0.6026607503375067,0.0268138713482941,0.0552691839673776,0.0356775889863099
ChEMBL raw,ChEMBL raw,default,temporal_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5018144717059716,0.6121802071216171,0.1103657354,0.2871363225641663,0.3572643463198559,0.0701280238,0.0007163646404791,0.1057056491978214,0.1049892846,7903.2,2870.4,0.5562939942803172,0.0,0.0,0.0
LoHi raw,bindingdb_raw,default,lohi_ligand_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5178166654948503,0.5611776128030984,0.0433609473,0.3328283265888248,0.3713327562391615,0.0385044297,0.0243480346574905,0.0845164590800219,0.0601684244,3553.866666666667,6406.866666666667,0.976079196311822,0.0,0.0,0.0
